"Work","Chapter","Verse","Version","Script" 
"Gal","00","00","03AH","πρὸς Γαλάτας" 
"Gal","01","01","03AH","Παῦλος ἀπόστολος οὐκ ἀπ᾽ ἀνθρώπων οὐδὲ δι᾽ ἀνθρώπου ἀλλὰ διὰ Ἰησοῦ Χριστοῦ τοῦ ἐγείραντος αὑτὸν ἐκ νεκρῶν" 
"Gal","01","02","03AH","[καὶ οἱ σὺν ἐμοὶ πάντες ἀδελφοί ταῖς ἐκκλησίαις τῆς Γαλατίας]" 
"Gal","01","03","03AH","χάρις καὶ εἰρήνη [ἀπὸ θεοῦ πατρὸς καὶ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ]" 
"Gal","01","04","03AH","[τοῦ δόντος ἑαυτὸν περὶ τῶν ἁμαρτιῶν ἡμῶν ὅπως ἐξέληται ἡμᾶς ἐκ τοῦ αἰῶνος τοῦ ἐνεστῶτος πονηροῦ κατὰ τὸ θέλημα τοῦ θεοῦ καὶ πατρὸς ἡμῶν]" 
"Gal","01","05","03AH","[ᾧ ἡ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων ἀμήν]" 
"Gal","01","06","03AH","θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς ἐν χάριτι εἰς ἕτερον εὐαγγέλιον" 
"Gal","01","07","03AH","ὃ (ἄλλο) [] πάντως οὐκ ἔστιν κατὰ τὸ εὐαγγέλιόν μου () εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι εἰς ἕτερον εὐαγγέλιον τοῦ Χριστοῦ" 
"Gal","01","08","03AH","ἀλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος ἐξ οὐρανοῦ ἄλλως εὐαγγελίσηται παρ᾽ ὃ εὐηγγελισάμεθα ἀνάθεμα ἔστω" 
"Gal","01","09","03AH","[ὡς προειρήκαμεν καὶ ἄρτι πάλιν λέγω] εἴ τις ὑμᾶς εὐαγγελίζεται [παρ᾽ ὃ παρελάβετε] ἀνάθεμα ἔστω" 
"Gal","01","11","03AH","[γνωρίζω δὲ ὑμῖν ἀδελφοί τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ᾽ ἐμοῦ ὅτι οὐκ ἔστιν κατὰ ἄνθρωπον]" 
"Gal","01","12","03AH","[οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό οὔτε ἐδιδάχθην ἀλλὰ δι᾽ ἀποκαλύψεως Ἰησοῦ Χριστοῦ]" 
"Gal","01","13","03AH","[ἠκούσατε γὰρ τὴν ἐμὴν ἀναστροφήν ποτε ἐν τῷ Ἰουδαϊσμῷ ὅτι καθ᾽ ὑπερβολὴν ἐδίωκον τὴν ἐκκλησίαν τοῦ θεοῦ καὶ ἐπόρθουν αὐτήν]" 
"Gal","01","14","03AH","[καὶ προέκοπτον ἐν τῷ Ἰουδαϊσμῷ ὑπὲρ πολλοὺς συνηλικιώτας ἐν τῷ γένει μου περισσοτέρως ζηλωτὴς ὑπάρχων τῶν πατρικῶν μου παραδόσεων]" 
"Gal","01","15","03AH","[ὅτε δὲ εὐδόκησεν ὁ ἀφορίσας με ἐκ κοιλίας μητρός μου καὶ καλέσας διὰ τῆς χάριτος αὐτοῦ]" 
"Gal","01","16","03AH","[ἀποκαλύψαι τὸν υἱὸν αὐτοῦ ἐν ἐμοὶ ἵνα εὐαγγελίζωμαι αὐτὸν ἐν τοῖς ἔθνεσιν εὐθέως οὐ προσανεθέμην σαρκὶ καὶ αἵματι]" 
"Gal","01","17","03AH","[οὐδὲ ἀνῆλθον εἰς Ἱεροσόλυμα πρὸς τοὺς πρὸ ἐμοῦ ἀποστόλους ἀλλὰ ἀπῆλθον εἰς Ἀραβίαν καὶ πάλιν ὑπέστρεψα εἰς Δαμασκόν]" 
"Gal","02","01","03AH","ἔπειτα διὰ ιδ᾽ ἐτῶν ἀνέβην εἰς Ἱεροσόλυμα" 
"Gal","02","02","03AH","μήπως εἰς κενὸν ἔδραμον ἢ τρέχω" 
"Gal","02","03","03AH","ἀλλ᾽ οὐδὲ Τίτος ὁ σὺν ἐμοί Ἕλλην ὤν ἠναγκάσθη περιτμηθῆναι" 
"Gal","02","04","03AH","διὰ τοὺς παρεισάκτους ψευδαδέλφους οἵτινες παρεισῆλθον κατασκοπῆσαι τὴν ἐλευθερίαν ἡμῶν ἣν ἔχομεν ἐν Χριστῷ ἵνα ἡμᾶς καταδουλώσουσιν" 
"Gal","02","05","03AH","οὐδὲ πρὸς ὥραν εἴξαμεν τῇ ὑποταγῇ ἵνα ἡ ἀλήθεια τοῦ εὐαγγελίου διαμείνῃ πρὸς ὑμᾶς" 
"Gal","02","09b","03AH","Πέτρος καὶ Ἰάκωβος καὶ Ἰωάννης [οἱ δοκοῦντες στῦλοι εἶναι] δεξιὰς ἔδωκαν ἐμοὶ ἵνα ἐγὼ εἰς τὰ ἔθνη αὐτοὶ δὲ εἰς τὴν περιτομήν" 
"Gal","02","10","03AH","μόνον τῶν πτωχῶν ἵνα μνημονεύωμεν" 
"Gal","02","11","03AH","[ὅτε δὲ ἦλθεν] Πέτρος [εἰς Ἀντιόχειαν] κατὰ πρόσωπον [αὐτῷ ἀντέστην ὅτι κατεγνωσμένος ἦν]" 
"Gal","02","12","03AH","[πρὸ τοῦ γὰρ ἐλθεῖν τινας ἀπὸ Ἰακώβου μετὰ τῶν ἐθνῶν συνήσθιεν ὅτε δὲ ἦλθον ὑπέστελλεν καὶ ἀφώριζεν ἑαυτόν] φοβούμενος τοὺς ἐκ περιτομῆς" 
"Gal","02","13","03AH","[καὶ συνυπεκρίθησαν αὐτῷ καὶ οἱ λοιποὶ Ἰουδαῖοι ὥστε καὶ Βαρναβᾶς συναπήχθη αὐτῶν τῇ ὑποκρίσει]" 
"Gal","02","14","03AH","[ἀλλ᾽ ὅτε εἶδον ὅτι] οὐκ (ὀρθοποδοῦσιν) [] πρὸς τὴν ἀλήθειαν τοῦ εὐαγγελίου [εἶπον τῷ Κηφᾷ ἔμπροσθεν πάντων εἰ σὺ Ἰουδαῖος ὑπάρχων ἐθνικῶς καὶ οὐχ Ἰουδαϊκῶς ζῇς πῶς τὰ ἔθνη ἀναγκάζεις ἰουδαΐζειν;]" 
"Gal","02","15","03AH","[ἡμεῖς φύσει Ἰουδαῖοι καὶ οὐκ ἐξ ἐθνῶν ἁμαρτωλοί]" 
