"Chapter","Verse","Version","Script" 
"01","00","07K","ΕΥΑΓΓΕΛΙΟΝ" 
"03","01","07K","ἐν ἔτει δὲ πεντεκαιδεκάτῳ τῆς ἡγεμονίας Τιβερίου Καίσαρος" 
"04","31","07K","ὁ Ἰησοῦς κατῆλθεν εἰς Καφαρναοὺμ πόλιν τῆς Γαλιλαίας τὴν παραθαλάσσιον ἐν ὁρίοις Ζαβουλὼν καὶ Νεφθαλίμ καὶ ἦν διδάσκων αὐτοὺς ἐν τοῖς σάββασιν" 
"04","32","07K","καὶ πάντες ἐξεπλήσσοντο ἐπὶ τῇ διδαχῆ αὐτοῦ ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτου" 
"04","33","07K","καὶ ἐν τῇ συναγωγῇ ἦν ἄνθρωπος ἔχων πνεῦμα δαιμόνιον ἀκάθαρτον καὶ ἀνέκραξεν φωνῇ μεγάλῃ" 
"04","34","07K","τί ἡμῖν καὶ σοί ἐστιν Ἰησοῦ Ναζαρηνέ; ἦλθες ἀπολέσαι ἡμᾶς; οἶδα τίς εἶ ὁ ἅγιος τοῦ θεοῦ" 
"04","35","07K","καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς λέγων φιμώθητι καὶ ἔξελθε ἀπ᾽ αὐτοῦ καὶ ῥῖψαν αὐτὸν τὸ δαιμόνιον εἰς τὸ μέσον ἀνακραυγάσαν τε ἐξῆλθεν ἀπ᾽ αὐτοῦ μηδὲν βλάψαν αὐτόν" 
"04","36","07K","καὶ ἐγένετο θάμβος μέγας ἐπὶ πάντας καὶ συνελάλουν πρὸς ἀλλήλους λέγοντες τίς ὁ λόγος οὗτος ὅτι ἐν ἐξουσίᾳ καὶ δυνάμει ἐπιτάσσει τοῖς ἀκαθάρτοις πνεύμασιν καὶ ἐξέρχονται;" 
"04","37","07K","καὶ ἐξῆλθεν ἡ ἀκοὴ περὶ αὐτοῦ εἰς πάντα τόπον τῆς περιχώρου" 
"04","16","07K","ἐλθὼν δὲ εἰς Ναζαρά εἰσῆλθεν ἐν τῇ ἡμέρᾳ τῶν σαββάτων εἰς τὴν συναγωγήν" 
