"Chapter","Verse","Version","Script" 
"03","01","08N","ἐν ἔτει δὲ πεντεκαιδεκάτῳ τῆς ἡγεμονίας [] Τιβερίου Καίσαρος ()" 
"04","31","08N","ὁ Ἰησοῦς κατῆλθεν εἰς Καφαρναοὺμ πόλιν τῆς Γαλιλαίας καὶ ἦν διδάσκων ()" 
"04","32","08N","καὶ πάντες [] ἐξεπλήσσοντο ἐπὶ τῇ διδαχῆ αὐτοῦ ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτου" 
"04","33","08N","ἦν δὲ ἐν τῇ συναγωγῇ ἄνθρωπος ἔχων πνεῦμα δαιμόνιον ἀκάθαρτον καὶ ἀνέκραξεν φωνῇ μεγάλῃ λέγων" 
"04","34","08N","τί ἡμῖν καὶ σοί Ἰησοῦ (); ἦλθες ἀπολέσαι ἡμᾶς []; οἶδα () τίς εἶ ὁ ἅγιος τοῦ θεοῦ" 
"04","35","08N","καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς λέγων φιμώθητι καὶ ἔξελθε ἀπ᾽ αὐτοῦ καὶ ῥῖψαν αὐτὸν τὸ δαιμόνιον εἰς μέσον ἀνακραυγάσαν τε ἐξῆλθεν ἀπ᾽ αὐτοῦ μηδὲν βλάψαν αὐτόν" 
"04","36","08N","καὶ ἐγένετο θάμβος μέγας ἐπὶ πάντας καὶ συνελάλουν πρὸς ἀλλήλους λέγοντες τίς ὁ λόγος οὗτος ὅτι ἐν ἐξουσίᾳ καὶ δυνάμει ἐπιτάσσει τοῖς ἀκαθάρτοις πνεύμασιν καὶ ἐξέρχονται;" 
"04","37","08N","καὶ ἐξῆλθεν ἡ ἀκοὴ περὶ αὐτοῦ εἰς πάντα τόπον τῆς περιχώρου" 
"04","16","08N","() εἰς Ναζαρέδ ([]) ἐν τῇ ἡμέρᾳ τῶν σαββάτων εἰς τὴν συναγωγὴν" 
"04","17","08N","();" 
"04","23","08N","καὶ εἶπεν πρὸς αὐτούς πάντως ἐρεῖτέ μοι τὴν παραβολὴν ταύτην ἰατρέ θεράπευσον σεαυτόν ὅσα ἠκούσαμεν γινόμενα εἰς Καφαρναοὺμ ποίησον καὶ ὧδε ἐν τῇ πατρίδι σου" 
"04","24","08N","()" 
"04","25","08N","()" 
"04","26","08N","()" 
"04","28","08N","()" 
"04","29","08N","καὶ ἀναστάντες ἐξέβαλον αὐτόν ἔξω τῆς πόλεως καὶ ἤγαγον αὐτὸν ἕως τῆς [] ὀφρύος τοῦ ὄρους ἐφ᾽ οὗ ἡ πόλις οἰκοδόμηται αὐτῶν ὥστε κατακρημνίσαι αὐτόν" 
"04","30","08N","αὐτὸς δὲ διελθὼν διὰ μέσου αὐτῶν ἐπορεύετο" 
"04","40","08N","δύσοντος δὲ τοῦ ἡλίου πάντες ὅσοι εἶχαν ἀσθενοῦντας νόσοις ποικίλαις ἔφερον αὐτοὺς πρὸς αὐτόν ὁ δὲ ἑνὶ ἑκάστῳ τὰς χεῖρας ἐπιτιθεὶς ἐθεράπευεν αὐτούς" 
"04","41","08N","ἐξήρχετο δὲ καὶ δαιμόνια ἀπὸ πολλῶν κραυγάζοντα () σὺ εἶ ὁ υἱὸς τοῦ θεοῦ καὶ ἐπιτιμῶν οὐκ εἴα αὐτὰ λαλεῖν ()" 
"04","42","08N","γενομένης δὲ ἡμέρας ἐξελθὼν ἐπορεύθη εἰς ἔρημον τόπον καὶ οἱ ὄχλοι ἐπεζήτουν αὐτὸν καὶ ἦλθον ἕως αὐτοῦ καὶ ἐπεῖχον [] αὐτόν τοῦ μὴ πορεύεσθαι ἀπ᾽ αὐτῶν" 
"04","43","08N","ὁ δὲ εἶπεν πρὸς αὐτοὺς ὅτι δεῖ με καὶ εἰς τὰς ἄλλας [] πόλεις εὐαγγελίσασθαι αὐταῖς τὴν βασιλείαν τοῦ θεοῦ ()" 
"04","44","08N","()" 
"05","01","08N","ἐγένετο δὲ ἐν τῷ τὸν ὄχλον ἐπικεῖσθαι αὐτῷ τοῦ ἀκούειν τὸν λόγον τοῦ θεοῦ ἑστῶτος αὐτοῦ παρὰ τὴν λίμνην Γεννησαρὲδ" 
"05","02","08N","καὶ εἶδεν δύο πλοῖα ἑστῶτα παρὰ τὴν λίμνην οἱ δὲ ἁλιεῖς ἀπ᾽ αὐτῶν ἀποβάντες ἔπλυνον τὰ δίκτυα" 
"05","03","08N","ἐμβὰς δὲ εἰς ἓν πλοῖον ὃ ἦν Σίμωνος ἠρώτησεν αὐτὸν ἐπαναγαγεῖν ἀπὸ τῆς γῆς ὅσον ὅσον καὶ καθίσας ἐν τῷ πλοίῳ ἐδίδασκεν τοὺς ὄχλους" 
"05","04","08N","ὅτε δὲ ἐπαύσατο λαλῶν εἶπεν πρὸς τὸν Σίμωνα ἐπανάγαγε εἰς τὸ βάθος καὶ χαλάσατε τὰ δίκτυα ὑμῶν εἰς ἄγραν" 
"05","05","08N","ὁ δὲ Σίμων ἀποκριθεὶς εἶπεν αὐτῷ διδάσκαλε δι᾽ ὅλης τῆς νυκτὸς κοπιάσαντες οὐδὲν ἐλάβομεν ἐπὶ δὲ τῷ ῥήματί σου οὐ μὴ παρακούσομαι" 
"05","06","08N","καὶ εὐθὺς χαλάσαντες τὰ δίκτυα συνέκλεισαν ἰχθύων πλῆθος πολύ ὥστε τὰ δίκτυα ῥήσσεσθαι" 
