"Chapter","Verse","Version","Script" 
"03","01","06R","ἐν (τῷ) ἔτει πεντεκαιδεκάτῳ (τῆς ἡγεμονίας) Τιβερίου Καίσαρος ἐπι τῶν χρόνων (Ποντίου) Πιλάτου ()" 
"04","31","06R","() κατῆλθεν εἰς Καφαρναοὺμ πόλιν τῆς Γαλιλαίας () ἦν διδάσκων () ἐν τῇ συναγωγῇ" 
"04","32","06R","() ἐξεπλήσσοντο (δὲ) πάντες ἐπὶ τῇ διδαχῆ αὐτοῦ ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτου" 
"04","34","06R","() τί ἡμῖν καὶ σοί Ἰησοῦ; ἦλθες ἀπολέσαι ἡμᾶς; οἶδα (σε) τίς εἶ ὁ ἅγιος τοῦ θεοῦ" 
"04","35","06R","() ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς ()" 
"04","16","06R","() Ναζαρέθ ()" 
"04","23","06R","() (ἰατρέ θεράπευσον σεαυτόν) ()" 
"04","29","06R","() ἐξέβαλον αὐτόν () ἤγαγον αὐτὸν ἕως ὀφρύος τοῦ ὄρους ()" 
"04","30","06R","() διὰ μέσου αὐτῶν ἐπορεύετο ()" 
"04","40","06R","() τὰς χεῖρας (ἐπιτιθεὶς ἐθεράπευεν) αὐτούς" 
"04","41","06R","(ἐξήρχοντο) (δὲ καί) δαιμόνια () (κραυγάζοντα) () σὺ εἶ ὁ υἱὸς τοῦ θεοῦ (καί) ἐπιτιμῶν (οὐκ εἴα αὐτὰ λαλεῖν) ()" 
"04","42","06R","() (ἐπορεύθη) εἰς ἔρημον () οἱ ὄχλοι () κατεῖχον αὐτόν ()" 
"04","43","06R","() δεῖ με (καὶ ταῖς ἑτέραις πόλεσιν) εὐαγγελίσασθαι τὴν βασιλείαν τοῦ θεοῦ ()" 
"05","02","06R","() (οἱ ἁλιεῖς) ()" 
"05","09","06R","θάμβος (γὰρ περιέσχεν) αὐτόν () ἐπὶ τῇ ἄγρᾳ τῶν ἰχθύων ()" 
"05","10","06R","() (υἱοὺς) Ζεβεδαίου () (τῶ Σίμωνι) () (εἶπεν πρὸς τὸν Σίμωνα) () μὴ φοβοῦ ἀπὸ τοῦ νῦν (γὰρ) ἀνθρώπους ἔσῃ ζωγρῶν" 
"05","11","06R","() πλοῖα () ἀφέντες () ἠκολούθησαν αὐτῷ" 
"05","12","06R","() (λέπρας) ()" 
"05","13","06R","() ἥψατο () (λέγων θέλω καθαρίσθητι καὶ εὐθέως ἡ λέπρα ἀπῆλθεν ἀπ᾽ αὐτοῦ)" 
"05","14","06R","ἀπελθὼν δεῖξον σεαυτὸν τῷ ἱερεῖ καὶ προσένεγκε (τὸ δῶρον) περὶ τοῦ καθαρισμοῦ σου καθὼς προσέταξεν Μωϋσῆς ἵνα ᾖ εἰς μαρτύριον τοῦτο ὑμῖν" 
"05","17","06R","()" 
"05","18","06R","() (ἄνθρωπον ὅς ἦν παραλελυμένος) ()" 
"05","20","06R","()" 
"05","21","06R","() τίς (δύναται) ἀφεῖναι ἁμαρτίας εἰ μὴ μόνος ὁ θεός" 
"05","24","06R","ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἀφιέναι ἁμαρτίας ἐπὶ τῆς γῆς () ἔγειρε καὶ ἆρον τὸν κράβαττόν σου ()" 
"05","26","06R","() (εἴδομεν παράδοξα σήμερον)" 
"05","27","06R","() τελώνην () (εἶπεν αὐτῷ ἀκολούθει μοι)" 
"05","30","06R","() μετὰ τῶν τελωνῶν (καὶ ἁμαρτωλῶν) ()" 
"05","31","06R","() οὐ χρείαν ἔχουσιν οἱ ὑγιαίνοντες ἰατροῦ ἀλλὰ οἱ κακῶς ἔχοντες" 
"05","33","06R","() οἱ μαθηταὶ Ἰωάννου νηστεύουσιν πυκνὰ καὶ δεήσεις ποιοῦνται () (οἱ δὲ σοὶ) ἐσθίουσιν καὶ πίνουσιν" 
"05","34","06R","μὴ (δύνανται νηστεύειν οἱ υἱοὶ) τοῦ νυμφῶνος (ἐφ᾽ ὅσον) μετ᾽ αὐτῶν ἐστιν ὁ νύμφιος" 
"05","35","06R","() ὅταν ἀπαρθῇ ἀπ᾽ αὐτῶν ὁ νύμφιος () νηστεύσουσιν ()" 
"05","37","06R","() ὁ οἶνος ()" 
"05","36","06R","() τὸ ἐπίβλημα () (ἐπίβλημα ῥάκους ἀγνάφου)" 
"06","01","06R","() ἐν σαββάτω () (ἐπείνασαν οἱ μαθηταί ἔτιλλον τοὺς στάχυας) ψώχοντες ταῖς χερσίν" 
"06","02","06R","() τῶν Φαρισαίων ()" 
"06","03","06R","() οὐδὲ τοῦτο ἀνέγνωτε τί ἐποίησε Δαυίδ ()" 
"06","04","06R","εἰσῆλθεν εἰς τὸν οἶκον τοῦ θεοῦ () τοὺς ἄρτους τῆς προθέσεως ()" 
"06","05","06R","() κύριός ἐστιν ὁ υἱὸς τοῦ ἀνθρώπου και τοῦ σαββάτου" 
"06","06","06R","() χείρ () ξηρά" 
"06","07","06R","παρετηροῦντο () οἱ Φαρισαῖοι (εἰ ἐν τῷ σαββάτῳ θεραπεύει ἵνα εὕρωσιν κατηγορεῖν αὐτοῦ)" 
"06","08","06R","()" 
"06","09","06R","() ἔξεστιν (τοῖς σάββασιν) ἀγαθοποιῆσαι ἢ (μή); ψυχὴν σῶσαι ἢ ἀπολέσαι;" 
"06","12","06R","() (ἀνέβη) εἰς τὸ ὄρος () διανυκτερεύων ἐν τῇ προσευχῇ ()" 
"06","13","06R","() ἐκλεξάμενος () δώδεκα () ἀποστόλους ()" 
"06","14","06R","Σίμωνα () ὠνόμασεν Πέτρον ()" 
"06","16","06R","() Ἰούδαν (Ἰσκαριώτην []) ὃς ἐγένετο προδότης" 
"06","17","06R","() (κατέβη) ἐν αὐτοῖς () πλῆθος () ἀπὸ (πάσης τῆς Ἰουδαίας καὶ Ἰερουσαλὴμ καί) () Τύρου (καὶ Σιδῶνος) (καὶ τῆς περαίας)" 
"06","19","06R","καὶ πᾶς ὁ ὄχλος ἐζήτει ἅπτεσθαι αὐτοῦ ()" 
"06","20","06R","καὶ αὐτὸς ἐπάρας τοὺς ὀφθαλμοὺς αὐτοῦ () μακάριοι οἱ πτωχοί ὅτι αὐτῶν ἐστὶν ἡ βασιλεία τοῦ θεοῦ" 
"06","21","06R","μακάριοι οἱ πεινῶντες () ὅτι (χορτασθήσονται) μακάριοι οἱ κλαίοντες () ὅτι (γελάσουσιν)" 
"06","22","06R","μακάριοί ἐστε ὅταν (μισήσουσιν) ὑμᾶς οἱ ἄνθρωποι () καὶ (ὀνειδίσουσιν) καὶ (ἐκβαλούσιν) τὸ ὄνομα ὑμῶν ὡς πονηρὸν ἕνεκα τοῦ υἱοῦ τοῦ ἀνθρώπου" 
"06","23","06R","() κατὰ (ταῦτα []) ἐποίουν τοῖς προφήταις οἱ πατέρες αὐτῶν" 
