"Work","Chapter","Verse","Version","Script" 
"Gal","00","00","01VM","πρὸς Γαλάτας" 
"Gal","01","01","01VM","Παῦλος ἀπόστολος οὐκ ἀπ᾽ ἀνθρώπων οὐδὲ δι᾽ ἀνθρώπου ἀλλὰ διὰ Ἰησοῦ Χριστοῦ τοῦ ἐγείραντος αὑτὸν ἐκ νεκρῶν" 
"Gal","01","02","01VM","καὶ οἱ σὺν ἐμοὶ πάντες ἀδελφοί ταῖς ἐκκλησίαις τῆς Γαλατίας·" 
"Gal","01","03","01VM","χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ." 
"Gal","01","06","01VM","θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς εἰς (τὴν) χάριν εἰς ἕτερον εὐαγγέλιον" 
"Gal","01","07","01VM","ὃ οὐκ ἔστιν εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ εὐαγγέλιον τοῦ Χριστοῦ." 
"Gal","01","08","01VM","κἂν τε ἡμεῖς ἢ ἄγγελος εὐαγγελίσηται ὑμῖν" 
"Gal","01","09","01VM","παρ᾽ ὃ παρελάβετε ἀνάθεμα ἔστω." 
"Gal","01","10","01VM","ἄρτι γὰρ ἀνθρώπους πείθω ἢ τὸν θεόν; ἢ ζητῶ ἀνθρώποις ἀρέσκειν; εἰ ἀνθρώποις ἤρεσκον Χριστοῦ δοῦλος οὐκ ἂν ἤμην." 
"Gal","01","11","01VM","γνωρίζω γὰρ ὑμῖν ἀδελφοί τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ᾽ ἐμοῦ ὅτι οὐκ ἔστι κατὰ ἄνθρωπον·" 
"Gal","01","12","01VM","οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό ἀλλὰ δι᾽ ἀποκαλύψεως Ἰησοῦ Χριστοῦ." 
"Gal","01","15","01VM","ὅτε δὲ εὐδόκησεν ὁ ἀφορίσας με ἐκ κοιλίας μητρός μου καὶ καλέσας εἰς τὴν χάριν (αὐτοῦ)" 
"Gal","01","16","01VM","ἀποκαλύψαι τὸν υἱὸν αὐτοῦ ἐν ἐμοὶ ἵνα εὐαγγελίζωμαι αὐτὸν ἐν τοῖς ἔθνεσιν εὐθέως οὐ προσανεθέμην σαρκὶ καὶ αἵματι" 
"Gal","01","17","01VM","οὐδὲ ἀνῆλθον εἰς Ἱεροσόλυμα πρὸς τοὺς πρὸ ἐμοῦ ἀποστόλους ἀλλὰ ἀπῆλθον εἰς Ἀραβίαν καὶ πάλιν ὑπέστρεψα εἰς Δαμασκόν." 
