"Work","Chapter","Verse","Version","Script" 
"Gal","00","00","01VM","πρός@pa Γαλάται@nampp" 
"Gal","01","01","01VM","Παῦλος@nnmsp ἀπόστολος@nnmsc οὐ@b ἀπό@pg ἄνθρωπος@ngmpc οὐδέ@cc διά@pg ἄνθρωπος@ngmsc ἀλλά@cc διά@pg Ἰησοῦς@ngmsp Χριστός@ngmsp ὁ@dgms ἐγείρω@vpaagms ἑαυτοῦ@rxams ἐκ@pg νεκρός@angmpn" 
"Gal","01","02","01VM","καί@cc ὁ@dnmp σύν@pd ἐγώ@rpd-s πᾶς@ainmpn ἀδελφός@nnmpc ὁ@ddfp ἐκκλησία@ndfpc ὁ@dgfs Γαλατία@ngfsp" 
"Gal","01","03","01VM","χάρις@nnfsc σύ@rpd-p καί@cc εἰρήνη@nnfsc ἀπό@pg θεός@ngmsc πατήρ@ngmsc καί@cc κύριος@ngmsc ἐγώ@rpg-p Ἰησοῦς@ngmsp Χριστός@ngmsp" 
"Gal","01","06","01VM","θαυμάζω@vipa1s ὅτι@cs οὕτω@b ταχέως@b μετατίθημι@vipe2p ἀπό@pg ὁ@dgms καλέω@vpaagms σύ@rpa-p εἰς@pa (ὁ@dafs) χάρις@nafsc εἰς@pa ἕτερος@aiansn εὐαγγέλιον@nansc" 
"Gal","01","07","01VM","ὅς@rrnns οὐ@b εἰμί@vipa3s εἰ@cs μή@x τὶς@rinmp εἰμί@vipa3p ὁ@dnmp ταράσσω@vppanmp σύ@rpa-p καί@cc θέλω@vppanmp μεταστρέφω@vnaa ὁ@dans εὐαγγέλιον@nansc ὁ@dgms Χριστός@ngmsp" 
"Gal","01","08","01VM","καί@cc ἐάν@cs τέ@cc ἐγώ@rpn-p ἤ@cc ἄγγελος@nnmsc εὐαγγελίζω@vsam3s σύ@rpd-p" 
"Gal","01","09","01VM","παρά@pa ὅς@rrans παραλαμβάνω@viaa2p ἀνάθεμα@nnnsc εἰμί@vdpa3s" 
"Gal","01","10","01VM","ἄρτι@b γάρ@cc ἄνθρωπος@nampc πείθω@vipa1s ἤ@cc ὁ@dams θεός@namsc ἤ@cc ζητέω@vipa1s ἄνθρωπος@ndmpc ἀρέσκω@vnpa εἰ@cs ἔτι@b ἄνθρωπος@ndmpc ἀρέσκω@viia1s Χριστός@ngmsp δοῦλος@nnmsc οὐ@b ἄν@x εἰμί@viim1s" 
"Gal","01","11","01VM","γνωρίζω@vipa1s γάρ@cc σύ@rpd-p ἀδελφός@nvmpc ὁ@dans εὐαγγέλιον@nansc ὁ@dans εὐαγγελίζω@vpapans ὑπό@pg ἐγώ@rpg-s ὅτι@cs οὐ@b εἰμί@vipa3s κατά@pa ἄνθρωπος@namsc" 
"Gal","01","12","01VM","οὐδέ@b γάρ@cc ἐγώ@rpn-s παρά@pg ἄνθρωπος@ngmsc παραλαμβάνω@viaa1s αὐτός@rpans ἀλλά@cc διά@pg ἀποκάλυψις@ngfsc Ἰησοῦς@ngmsp Χριστός@ngmsp" 
"Gal","01","15","01VM","ὅτε@cs δέ@cc εὐδοκέω@viaa3s ὁ@dnms ἀφορίζω@vpaanms ἐγώ@rpa-s ἐκ@pg κοιλία@ngfsc μήτηρ@ngfsc ἐγώ@rpg-s καί@cc καλέω@vpaanms εἰς@pa ὁ@dafs χάρις@nafsc (αὐτός@rpgms)" 
"Gal","01","16","01VM","ἀποκαλύπτω@vnaa ὁ@dams υἱός@namsc αὐτός@rpgms ἐν@pd ἐγώ@rpd-s ἵνα@cs εὐαγγελίζω@vspm1s αὐτός@rpams ἐν@pd ὁ@ddnp ἔθνος@ndnpc εὐθέως@b οὐ@b προσανατίθημι@viam1s σάρξ@ndfsc καί@cc αἷμα@ndnsc" 
"Gal","01","17","01VM","οὐδέ@cc ἀπέρχομαι@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp πρός@pa ὁ@damp πρό@pg ἐγώ@rpg-s ἀπόστολος@nampc ἀλλά@cc ἀπέρχομαι@viaa1s εἰς@pa Ἀραβία@nafsp καί@cc πάλιν@b ὑποστρέφω@viaa1s εἰς@pa Δαμασκός@nafsp" 
"Gal","01","18","01VM","ἔπειτα@b μετά@pa ἔτος@nanpc τρεῖς@acanpn ἀνέρχομαι@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp ἱστορέω@vnaa Κηφᾶς@namsp καί@cc ἐπιμένω@viaa1s πρός@pa αὐτός@rpams ἡμέρα@nafpc δεκαπέντε@ac---n" 
"Gal","01","19","01VM","ἕτερος@aiamsn δέ@cc ὁ@dgmp ἀπόστολος@ngmpc οὐ@b ὁράω@viaa1s εἰ@cs μή@x Ἰάκωβος@namsp ὁ@dams ἀδελφός@namsc ὁ@dgms κύριος@ngmsc" 
"Gal","01","20","01VM","ὅς@rranp δέ@cc γράφω@vipa1s σύ@rpd-p ἰδού@i ἐνώπιον@pg ὁ@dgms θεός@ngmsc ὅτι@cs οὐ@b ψεύδομαι@vipm1s" 
"Gal","01","21","01VM","ἔπειτα@b ἔρχομαι@viaa1s εἰς@pa ὁ@danp κλίμα@nanpc ὁ@dgfs Συρία@ngfsp καί@cc ὁ@dgfs Κιλικία@ngfsp" 
"Gal","01","22","01VM","εἰμί@viim1s δέ@cc ἀγνοέω@vpppnms ὁ@ddns πρόσωπον@ndnsc ὁ@ddfp ἐκκλησία@ndfpc ὁ@dgfs Ἰουδαία@ngfsp ὁ@ddfp ἐν@pd Χριστός@ndmsp" 
"Gal","02","01","01VM","ἔπειτα@b διά@pg δεκατέσσαρες@acgnpn ἔτος@ngnpc πάλιν@b ἀναβαίνω@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp μετά@pg Βαρναβᾶς@ngmsp συμπαραλαμβάνω@vpaanms καί@b Τίτος@namsp" 
"Gal","02","02","01VM","ἀναβαίνω@viaa1s δέ@cc κατά@pa ἀποκάλυψις@nafsc καί@cc ἀνατίθημι@viam1s αὐτός@rpdmp ὁ@dans εὐαγγέλιον@nansc ὅς@rrans κηρύσσω@vipa1s ἐν@pd ὁ@ddnp ἔθνος@ndnpc" 
"Gal","02","03","01VM","ἀλλά@cc οὐδέ@b Τίτος@nnmsp (σύν@pd ἐγώ@rpd-s) Ἕλλην@nnmsp εἰμί@vppanms ἀναγκάζω@viap3s περιτέμνω@vnap" 
"Gal","02","04","01VM","διά@pa ὁ@damp παρείσακτος@anampn ψευδάδελφος@nampc ὅστις@rrnmp παρεισέρχομαι@viaa3p κατασκοπέω@vnaa ὁ@dafs ἐλευθερία@nafsc ἐγώ@rpg-p ὅς@rrafs ἔχω@vipa1p ἐν@pd Χριστός@ndmsp Ἰησοῦς@ndmsp ἵνα@cs ἐγώ@rpa-p καταδουλόω@vsaa3p" 
"Gal","02","05","01VM","οὐδέ@b πρός@pa ὥρα@nafsc εἴκω@viaa1p ὁ@ddfs ὑποταγή@ndfsc ἵνα@cs ὁ@dnfs ἀλήθεια@nnfsc ὁ@dgns εὐαγγέλιον@ngnsc διαμένω@vsaa3s πρός@pa σύ@rpa-p" 
"Gal","02","06","01VM","ἀπό@pg δέ@cc ὁ@dgmp δοκέω@vppagmp εἰμί@vnpa τὶς@rians () ὁποῖος@arnmpn ποτέ@b εἰμί@viia3p οὐδείς@rians ἐγώ@rpd-s διαφέρω@vipa3s πρόσωπον@nansc θεός@nnmsc οὐ@b λαμβάνω@vipa3s ἐγώ@rpd-s γάρ@cc οὐδείς@rians προσανατίθημι@viam3p" 
"Gal","02","07","01VM","ἀλλά@cc ὁ@dgms ἐναντίον@b ὁράω@vpaanmp ὅτι@cs πιστεύω@vixp1s ὁ@dans εὐαγγέλιον@nansc ὁ@dgfs ἀκροβυστία@ngfsc" 
"Gal","02","09","01VM","καί@cc γινώσκω@vpaanmp ὁ@dafs χάρις@nafsc ὁ@dafs δίδωμι@vpapafs ἐγώ@rpd-s Ἰάκωβος@nnmsp καί@cc Κηφᾶς@nnmsp καί@cc Ἰωάννης@nnmsp ὁ@dnmp δοκέω@vppanmp στῦλος@nnmpc εἰμί@vnpa δεξιός@anafpn δίδωμι@viaa3p ἐγώ@rpd-s καί@cc Βαρναβᾶς@ndmsp κοινωνία@ngfsc ἵνα@cs ἐγώ@rpn-p εἰς@pa ὁ@danp ἔθνος@nanpc αὐτός@rtnmp δέ@cc εἰς@pa ὁ@dafs περιτομή@nafsc" 
"Gal","02","11","01VM","ὅτε@cs δέ@cc ἔρχομαι@viaa3s Κηφᾶς@nnmsp εἰς@pa Ἀντιόχεια@nafsp κατά@pa πρόσωπον@nansc αὐτός@rpdms ἀνθίστημι@viaa1s ὅτι@cs καταγινώσκω@vpxpnms εἰμί@viia3s" 
"Gal","02","12","01VM","πρό@pg ὁ@dgns γάρ@cc ἔρχομαι@vnaa Ἰάκωβος@namsp μετά@pg ὁ@dgnp ἔθνος@ngnpc συνεσθίω@viia3s ὅτε@cs δέ@cc ἔρχομαι@viaa3s ὑποστέλλω@viia3s καί@cc ἀφορίζω@viia3s ἑαυτοῦ@rxams φοβέω@vppmnms ὁ@damp ἐκ@pg περιτομή@ngfsc" 
"Gal","02","13","01VM","καί@cc συνυποκρίνομαι@viap3p αὐτός@rpdms ὁ@dnmp λοιπός@annmpn Ἰουδαῖος@annmpn ὥστε@cs καί@b Βαρναβᾶς@nnmsp συναπάγω@viap3s αὐτός@rpgmp ὁ@ddfs ὑπόκρισις@ndfsc" 
"Gal","02","14","01VM","ἀλλά@cc ὅτε@cs ὁράω@viaa1s ὅτι@cs οὐ@b ὀρθοποδέω@vipa3p πρός@pa ὁ@dafs ἀλήθεια@nafsc ὁ@dgns εὐαγγέλιον@ngnsc λέγω@viaa1s ὁ@ddms Κηφᾶς@ndmsp ἔμπροσθεν@pg πᾶς@aigmpn εἰ@cs σύ@rpn-s Ἰουδαῖος@annmsn ὑπάρχω@vppanms ἐθνικῶς@b ζάω@vipa2s πῶς@b ὁ@danp ἔθνος@nanpc ἀναγκάζω@vipa2s Ἰουδαΐζω@vnpa" 
"Gal","02","15","01VM","ἐγώ@rpn-p φύσις@ndfsc Ἰουδαῖος@annmpn καί@cc οὐ@b ἐκ@pg ἔθνος@ngnpc ()" 
"Gal","02","18","01VM","εἰ@cs γάρ@cc ὅς@rranp καταλύω@viaa1s οὗτος@rdanp πάλιν@b οἰκοδομέω@vipa1s παραβάτης@namsc ἐμαυτοῦ@rxams συνίστημι@vipa1s" 
"Gal","02","19","01VM","ἐγώ@rpn-s γάρ@cc διά@pg νόμος@ngmsc νόμος@ndmsc ἀποθνῄσκω@viaa1s ἵνα@cs θεός@ndmsc ζάω@vsaa1s Χριστός@ndmsp συσταυρόω@vixp1s" 
"Gal","02","20","01VM","ζάω@vipa1s δέ@cc οὐκέτι@b ἐγώ@rpn-s ζάω@vipa3s δέ@cc ἐν@pd ἐγώ@rpd-s Χριστός@nnmsp ὅς@rrans δέ@cc νῦν@b ζάω@vipa1s ἐν@pd σάρξ@ndfsc ἐν@pd πίστις@ndfsc ζάω@vipa1s ὁ@ddfs ὁ@dgms υἱός@ngmsc ὁ@dgms θεός@ngmsc ὁ@dgms ἀγαπάω@vpaagms ἐγώ@rpa-s καί@cc παραδίδωμι@vpaagms ἑαυτοῦ@rxams ὑπέρ@pg ἐγώ@rpg-s" 
"Gal","02","21","01VM","οὐ@b ἀθετέω@vipa1s ὁ@dafs χάρις@nafsc εἰ@cs γάρ@cc διά@pg νόμος@ngmsc δικαιοσύνη@nnfsc ἄρα@x Χριστός@nnmsp δωρεάν@b ἀποθνῄσκω@viaa3s" 
"Gal","03","01","01VM","ὦ@i ἀνόητος@anvmpn Γαλάτης@nvmpp τίς@rqnms σύ@rpa-p βασκαίνω@viaa3s ὅς@rrdmp κατά@pa ὀφθαλμός@nampc Ἰησοῦς@nnmsp Χριστός@nnmsp προγράφω@viap3s σταυρόω@vpxpnms" 
"Gal","03","02","01VM","οὗτος@rdans μόνος@anansn θέλω@vipa1s μανθάνω@vnaa ἀπό@pg σύ@rpg-p ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ὁ@dans πνεῦμα@nansc λαμβάνω@viaa2p ἤ@cc ἐκ@pg ἀκοή@ngfsc πίστις@ngfsc" 
"Gal","03","03","01VM","οὕτω@b ἀνόητος@annmpn εἰμί@vipa2p ἐνάρχομαι@vpamnmp πνεῦμα@ndnsc νῦν@b σάρξ@ndfsc ἐπιτελέω@vipe2p" 
"Gal","03","04","01VM","τοσοῦτος@adanpn πάσχω@viaa2p εἰκῇ@b εἰ@cs γέ@x καί@b εἰκῇ@b" 
"Gal","03","05","01VM","ὁ@dnms ἐπιχορηγέω@vppanms σύ@rpd-p ὁ@dans πνεῦμα@nansc καί@cc ἐνεργέω@vppanms δύναμις@nafpc ἐν@pd σύ@rpd-p ()" 
"Gal","03","11a","01VM","μανθάνω@vdaa2p ὅτι@cs ὁ@dnms δίκαιος@annmsn ἐκ@pg πίστις@ngfsc ζάω@vifm3s" 
"Gal","03","10","01VM","ὅσος@rrnmp γάρ@cc ὑπό@pa νόμος@namsc ὑπό@pa κατάρα@nafsc εἰμί@vipa3p ὅτι@cs ἐπικατάρατος@annmsn πᾶς@ainmsn ὅς@rrnms οὐ@b ἐμμένω@vipa3s πᾶς@aidnpn ὁ@ddnp ἐγγράφω@vpxpdnp ἐν@pd ὁ@ddns βιβλίον@ndnsc ὁ@dgms νόμος@ngmsc ὁ@dgns ποιέω@vnaa αὐτός@rpanp" 
"Gal","03","11b","01VM","ἐν@pd νόμος@ndmsc οὐδείς@rinms δικαιόω@vipp3s" 
"Gal","03","12","01VM","ὁ@dnms δέ@cc νόμος@nnmsc οὐ@b εἰμί@vipa3s ἐκ@pg πίστις@ngfsc ὁ@dnms δέ@cc ποιέω@vpaanms αὐτός@rpanp ζάω@vifm3s ἐν@pd αὐτός@rpdnp" 
"Gal","03","13","01VM","Χριστός@nnmsp ἐγώ@rpa-p ἐξαγοράζω@viaa3s ἐκ@pg ὁ@dgfs κατάρα@ngfsc ὁ@dgms νόμος@ngmsc γίνομαι@vpamnms ὑπέρ@pg ἐγώ@rpg-p κατάρα@nnfsc ὅτι@cs ἐπικατάρατος@annmsn πᾶς@ainmsn ὁ@dnms κρεμάννυμι@vpppnms ἐπί@pg ξύλον@ngnsc" 
"Gal","03","14","01VM","λαμβάνω@viaa1p οὖν@cc ὁ@dafs εὐλογία@nafsc ὁ@dgns πνεῦμα@ngnsc διά@pg ὁ@dgfs πίστις@ngfsc" 
"Gal","03","26","01VM","πᾶς@ainmpn γάρ@cc υἱός@nnmpc εἰμί@vipa2p ὁ@dgfs πίστις@ngfsc" 
"Gal","04","03","01VM","(ἔτι@b) κατά@pa ἄνθρωπος@namsc λέγω@vipa1s ὅτε@cs εἰμί@viia1p νήπιος@annmpn ὑπό@pa ὁ@danp στοιχεῖον@nanpc ὁ@dgms κόσμος@ngmsc εἰμί@viia1p δουλόω@vpxpnmp" 
"Gal","04","04","01VM","ὅτε@cs δέ@cc ἔρχομαι@viaa3s ὁ@dnns πλήρωμα@nnnsc ὁ@dgms χρόνος@ngmsc ἀποστέλλω@viaa3s ὁ@dnms θεός@nnmsc ὁ@dams υἱός@namsc αὐτός@rpgms" 
"Gal","04","05","01VM","ἵνα@cs ὁ@damp ὑπό@pa νόμος@namsc ἐξαγοράζω@vsaa3s ἵνα@cs εἰς@pa υἱοθεσία@nafsc ἀπολαμβάνω@vsaa1p" 
