"Work","Chapter","Verse","Version","Script" 
"Gal","00","00","02TZ","πρός@pa Γαλάται@nampp" 
"Gal","01","01","02TZ","Παῦλος@nnmsp [ἀπόστολος@nnmsc οὐ@b ἀπό@pg ἄνθρωπος@ngmpc οὐδέ@cc διά@pg ἄνθρωπος@ngmsc ἀλλά@cc] διά@pg Ἰησοῦς@ngmsp Χριστός@ngmsp ὁ@dgms ἐγείρω@vpaagms ἑαυτοῦ@rxams ἐκ@pg νεκρός@angmpn" 
"Gal","01","06","02TZ","[θαυμάζω@vipa1s ὅτι@cs οὕτω@b ταχέως@b μετατίθημι@vipe2p ἀπό@pg ὁ@dgms καλέω@vpaagms σύ@rpa-p] ἐν@pd χάρις@ndfsc εἰς@pa ἕτερος@aiansn εὐαγγέλιον@nansc" 
"Gal","01","07","02TZ","ὅς@rrnns (πάντως@b) οὐ@b εἰμί@vipa3s ἄλλος@ainnsn [εἰ@cs μή@x τὶς@rinmp εἰμί@vipa3p ὁ@dnmp ταράσσω@vppanmp σύ@rpa-p καί@cc θέλω@vppanmp μεταστρέφω@vnaa ὁ@dans εὐαγγέλιον@nansc ὁ@dgms Χριστός@ngmsp]" 
"Gal","01","08","02TZ","[ἀλλά@cc καί@b ἐάν@cs ἐγώ@rpn-p ἤ@cc ἄγγελος@nnmsc] ἐκ@pg οὐρανός@ngmsc ἄλλως@b εὐαγγελίζω@vsam3s ἀνάθεμα@nnnsc εἰμί@vdpa3s" 
"Gal","01","12","02TZ","[οὐδέ@b γάρ@cc ἐγώ@rpn-s παρά@pg ἄνθρωπος@ngmsc παραλαμβάνω@viaa1s αὐτός@rpans οὔτε@cc διδάσκω@viap1s ἀλλά@cc διά@pg ἀποκάλυψις@ngfsc Ἰησοῦς@ngmsp Χριστός@ngmsp]" 
"Gal","01","13","02TZ","[ἀκούω@viaa2p γάρ@cc ὁ@dafs ἐμός@asafsn ἀναστροφή@nafsc ποτέ@b ἐν@pd ὁ@ddms Ἰουδαϊσμός@ndmsp ὅτι@cs κατά@pa ὑπερβολή@nafsc διώκω@viia1s ὁ@dafs ἐκκλησία@nafsc ὁ@dgms θεός@ngmsc καί@cc πορθέω@viia1s αὐτός@rpafs]" 
"Gal","01","14","02TZ","[καί@cc προκόπτω@viia1s ἐν@pd ὁ@ddms Ἰουδαϊσμός@ndmsp ὑπέρ@pa πολύς@anampn συνηλικιώτης@nampc ἐν@pd ὁ@ddns γένος@ndnsc ἐγώ@rpg-s περισσοτέρως@b ζηλωτής@nnmsc ὑπάρχω@vppanms ὁ@dgfp πατρικός@angfpn ἐγώ@rpg-s παράδοσις@ngfpc]" 
"Gal","01","15","02TZ","[ὅτε@cs δέ@cc εὐδοκέω@viaa3s ὁ@dnms ἀφορίζω@vpaanms ἐγώ@rpa-s ἐκ@pg κοιλία@ngfsc μήτηρ@ngfsc ἐγώ@rpg-s καί@cc καλέω@vpaanms διά@pg ὁ@dgfs χάρις@ngfsc αὐτός@rpgms]" 
"Gal","01","16","02TZ","[ἀποκαλύπτω@vnaa ὁ@dams υἱός@namsc αὐτός@rpgms ἐν@pd ἐγώ@rpd-s ἵνα@cs εὐαγγελίζω@vspm1s αὐτός@rpams ἐν@pd ὁ@ddnp ἔθνος@ndnpc εὐθέως@b οὐ@b προσανατίθημι@viam1s σάρξ@ndfsc καί@cc αἷμα@ndnsc]" 
"Gal","01","17","02TZ","[οὐδέ@cc ἀνέρχομαι@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp πρός@pa ὁ@damp πρό@pg ἐγώ@rpg-s ἀπόστολος@nampc ἀλλά@cc ἀπέρχομαι@viaa1s εἰς@pa Ἀραβία@nafsp καί@cc πάλιν@b ὑποστρέφω@viaa1s εἰς@pa Δαμασκός@nafsp]" 
"Gal","02","01","02TZ","[ἔπειτα@b διά@pg δεκατέσσαρες@acgnpn ἔτος@ngnpc] [ἀναβαίνω@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp μετά@pg Βαρναβᾶς@ngmsp συμπαραλαμβάνω@vpaanms καί@b Τίτος@namsp]" 
