"Work","Chapter","Verse","Version","Script" 
"Gal","00","00","02TZ","πρὸς Γαλάτας." 
"Gal","01","01","02TZ","Παῦλος [ἀπόστολος οὐκ ἀπ᾽ ἀνθρώπων οὐδὲ δι᾽ ἀνθρώπου ἀλλὰ] διὰ Ἰησοῦ Χριστοῦ τοῦ ἐγείραντος αὑτὸν ἐκ νεκρῶν." 
"Gal","01","06","02TZ","[θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς] ἐν χάριτι εἰς ἕτερον εὐαγγέλιον" 
"Gal","01","07","02TZ","ὃ (πάντως) οὐκ ἔστιν ἄλλο [εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ εὐαγγέλιον τοῦ Χριστοῦ.]" 
"Gal","01","08","02TZ","[ἀλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος] ἐξ οὐρανοῦ ἄλλως εὐαγγελίσηται ἀνάθεμα ἔστω." 
"Gal","01","12","02TZ","[οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό οὔτε ἐδιδάχθην ἀλλὰ δι᾽ ἀποκαλύψεως Ἰησοῦ Χριστοῦ.]" 
"Gal","01","13","02TZ","[ἠκούσατε γὰρ τὴν ἐμὴν ἀναστροφήν ποτε ἐν τῷ Ἰουδαϊσμῷ ὅτι καθ᾽ ὑπερβολὴν ἐδίωκον τὴν ἐκκλησίαν τοῦ θεοῦ καὶ ἐπόρθουν αὐτήν·]" 
"Gal","01","14","02TZ","[καὶ προέκοπτον ἐν τῷ Ἰουδαϊσμῷ ὑπὲρ πολλοὺς συνηλικιώτας ἐν τῷ γένει μου περισσοτέρως ζηλωτὴς ὑπάρχων τῶν πατρικῶν μου παραδόσεων.]" 
"Gal","01","15","02TZ","[ὅτε δὲ εὐδόκησεν ὁ ἀφορίσας με ἐκ κοιλίας μητρός μου καὶ καλέσας διὰ τῆς χάριτος αὐτοῦ]" 
"Gal","01","16","02TZ","[ἀποκαλύψαι τὸν υἱὸν αὐτοῦ ἐν ἐμοὶ ἵνα εὐαγγελίζωμαι αὐτὸν ἐν τοῖς ἔθνεσιν εὐθέως οὐ προσανεθέμην σαρκὶ καὶ αἵματι]" 
"Gal","01","17","02TZ","[οὐδὲ ἀνῆλθον εἰς Ἱεροσόλυμα πρὸς τοὺς πρὸ ἐμοῦ ἀποστόλους ἀλλὰ ἀπῆλθον εἰς Ἀραβίαν καὶ πάλιν ὑπέστρεψα εἰς Δαμασκόν.]" 
"Gal","02","01","02TZ","[ἔπειτα διὰ δεκατεσσάρων ἐτῶν] [ἀνέβην εἰς Ἱεροσόλυμα μετὰ Βαρναβᾶ συνπαραλαβὼν καὶ Τίτον·]" 
"Gal","02","02","02TZ","[ἀνέβην δὲ κατὰ ἀποκάλυψιν καὶ ἀνεθέμην αὐτοῖς τὸ εὐαγγέλιον ὃ κηρύσσω ἐν τοῖς ἔθνεσιν κατ᾽ ἰδίαν δὲ τοῖς δοκοῦσιν μήπως] εἰς κενὸν ἔδραμον ἢ τρέχω." 
"Gal","02","03","02TZ","ἀλλ᾽ οὐδὲ Τίτος [ὁ σὺν ἐμοί Ἕλλην ὤν] ἠναγκάσθη περιτμηθῆναι" 
"Gal","02","04","02TZ","διὰ τοὺς παρεισάκτους [ψευδαδέλφους οἵτινες παρεισῆλθον κατασκοπῆσαι τὴν ἐλευθερίαν ἡμῶν ἣν ἔχομεν] ἐν Χριστῷ ἵνα ἡμᾶς καταδουλώσουσιν." 
"Gal","02","05","02TZ","οὐδὲ πρὸς ὥραν εἴξαμεν τῇ ὑποταγῇ [ἵνα ἡ ἀλήθεια τοῦ εὐαγγελίου διαμείνῃ πρὸς ὑμᾶς.]" 
"Gal","02","09","02TZ","[καὶ γνόντες τὴν χάριν τὴν δοθεῖσάν μοι] Πέτρος καὶ Ἰάκωβος καὶ Ἰωάννης [οἱ δοκοῦντες στῦλοι εἶναι δεξιὰς ἔδωκαν ἐμοὶ καὶ Βαρναβᾷ κοινωνίας ἵνα ἡμεῖς εἰς τὰ ἔθνη αὐτοὶ δὲ εἰς τὴν περιτομήν·]" 
"Gal","02","10","02TZ","[μόνον τῶν πτωχῶν ἵνα μνημονεύωμεν ὃ καὶ ἐσπούδασα αὐτὸ τοῦτο ποιῆσαι.]" 
"Gal","02","11","02TZ","[ὅτε δὲ ἦλθεν Κηφᾶς εἰς Ἀντιόχειαν κατὰ πρόσωπον αὐτῷ ἀντέστην ὅτι κατεγνωσμένος ἦν.]" 
"Gal","02","12","02TZ","[πρὸ τοῦ γὰρ ἐλθεῖν τινας ἀπὸ Ἰακώβου μετὰ τῶν ἐθνῶν συνήσθιεν· ὅτε δὲ ἦλθον ὑπέστελλεν καὶ ἀφώριζεν ἑαυτόν φοβούμενος τοὺς ἐκ περιτομῆς·]" 
"Gal","02","13","02TZ","[καὶ συνυπεκρίθησαν αὐτῷ καὶ οἱ λοιποὶ Ἰουδαῖοι ὥστε καὶ Βαρναβᾶς συναπήχθη αὐτῶν τῇ ὑποκρίσει.]" 
"Gal","02","14","02TZ","[ἀλλ᾽ ὅτε εἶδον ὅτι οὐκ ὀρθοποδοῦσιν πρὸς τὴν ἀλήθειαν τοῦ εὐαγγελίου εἶπον τῷ Κηφᾷ ἔμπροσθεν πάντων· εἰ σὺ Ἰουδαῖος ὑπάρχων ἐθνικῶς καὶ οὐχ Ἰουδαϊκῶς ζῇς πῶς τὰ ἔθνη ἀναγκάζεις ἰουδαΐζειν;]" 
"Gal","02","16","02TZ","[εἰδότες δὲ ὅτι οὐ δικαιοῦται ἄνθρωπος ἐξ ἔργων νόμου ἐὰν μὴ διὰ πίστεως Χριστοῦ Ἰησοῦ καὶ ἡμεῖς εἰς Χριστὸν Ἰησοῦν ἐπιστεύσαμεν ἵνα δικαιωθῶμεν ἐκ πίστεως Χριστοῦ καὶ οὐκ ἐξ ἔργων νόμου ὅτι ἐξ ἔργων νόμου οὐ δικαιωθήσεται πᾶσα σάρξ.]" 
"Gal","02","18","02TZ","[εἰ γὰρ ἃ κατέλυσα ταῦτα πάλιν οἰκοδομῶ παραβάτην ἐμαυτὸν συνιστάνω.]" 
"Gal","02","19","02TZ","[Χριστῷ συνεσταύρωμαι·]" 
"Gal","02","20","02TZ","[ζῶ δὲ οὐκέτι ἐγώ ζῇ δὲ ἐν ἐμοὶ Χριστός· ὃ δὲ νῦν ζῶ ἐν σαρκί ἐν πίστει ζῶ τῇ] τοῦ υἱοῦ τοῦ θεοῦ τοῦ ἀγοράσαντός με." 
"Gal","03","01","02TZ","[ὦ ἀνόητοι Γαλάται τίς ὑμᾶς ἐβάσκανεν οἷς κατ᾽ ὀφθαλμοὺς Ἰησοῦς Χριστὸς προεγράφη ἐσταυρωμένος;]" 
"Gal","03","11","02TZ","μάθετε ὅτι ὁ δίκαιος ἐκ πίστεως ζήσεται·" 
"Gal","03","10","02TZ","ὅσοι γὰρ ὑπὸ νόμον ὑπὸ κατάραν εἰσίν" 
"Gal","03","12","02TZ","ὁ δὲ ποιήσας αὐτὰ ζήσεται ἐν αὐτοῖς." 
"Gal","03","13","02TZ","[Χριστὸς ἡμᾶς ἐξηγόρασεν ἐκ τῆς κατάρας τοῦ νόμου γενόμενος ὑπὲρ ἡμῶν κατάρα ὅτι γέγραπται· ἐπικατάρατος πᾶς ὁ κρεμάμενος ἐπὶ ξύλου]" 
"Gal","03","14b","02TZ","(ἐλάβομεν) [] οὖν τὴν πνευματικὴν εὐλογίαν διὰ τῆς πίστεως." 
"Gal","03","26","02TZ","πάντες γὰρ υἱοὶ ἐστε τῆς πίστεως." 
"Gal","04","01","02TZ","[λέγω δέ ἐφ᾽ ὅσον χρόνον ὁ κληρονόμος νήπιός ἐστιν οὐδὲν διαφέρει δούλου κύριος πάντων ὤν]" 
"Gal","04","02","02TZ","[ἀλλὰ ὑπὸ ἐπιτρόπους ἐστὶν καὶ οἰκονόμους ἄχρι τῆς προθεσμίας τοῦ πατρός.]" 
"Gal","04","03","02TZ","ἔτι κατὰ ἄνθρωπον λέγω· ὅτε ἦμεν νήπιοι ὑπὸ τὰ στοιχεῖα τοῦ κόσμου ἦμεν τεθειμένοι εἰς τὸ δουλεῦσαι αὐτοῖς." 
"Gal","04","04","02TZ","ὅτε δὲ ἐγένετο πληροῦσθαι τὸν χρόνον ἀπέστειλεν ὁ θεὸς τὸν υἱὸν αὐτοῦ." 
"Gal","04","05","02TZ","[ἵνα τοὺς ὑπὸ νόμον ἐξαγοράσῃ ἵνα τὴν υἱοθεσίαν ἀπολάβωμεν.]" 
"Gal","04","06","02TZ","ὅτι οὖν () ἐσμεν υἱοὶ θεοῦ ἀπέστειλεν τὸ πνεῦμα αὐτοῦ () [εἰς τὰς καρδίας ἡμῶν κρᾶζον· ἀββᾶ ὁ πατήρ.]" 
"Gal","04","08","02TZ","εἰ οὖν τοῖς ἐν τῇ φύσει οὖσι θεοῖς δουλεύετε" 
"Gal","04","09b","02TZ","πῶς ἐπιστρέφετε πάλιν [ἐπὶ τὰ ἀσθενῆ καὶ πτωχὰ στοιχεῖα οἷς πάλιν ἄνωθεν δουλεῦσαι θέλετε;]" 
"Gal","04","10","02TZ","[ἡμέρας παρατηρεῖσθε καὶ μῆνας καὶ καιροὺς καὶ ἐνιαυτούς;]" 
"Gal","04","22","02TZ","[γέγραπται γὰρ ὅτι Ἀβραὰμ δύο υἱοὺς ἔσχεν ἕνα ἐκ τῆς παιδίσκης καὶ ἕνα ἐκ τῆς ἐλευθέρας.]" 
"Gal","04","23","02TZ","[ἀλλ᾽ ὁ μὲν ἐκ τῆς παιδίσκης κατὰ σάρκα γεγέννηται ὁ δὲ ἐκ τῆς ἐλευθέρας διὰ τῆς ἐπαγγελίας.]" 
"Gal","04","24","02TZ","[ἅτινά ἐστιν ἀλληγορούμενα· αὗται γάρ εἰσιν] δύο διαθῆκαι μία μὲν ἀπὸ ὄρους Σινᾶ εἰς τὴν συναγωγὴν τῶν Ἰουδαίων κατὰ τὸν νόμον γεννῶσα εἰς δουλείαν" 
"Eph","01","21","02TZ","μία δὲ ὑπεράνω πάσης ἀρχῆς καὶ δυνάμεως καὶ ἐξουσίας καὶ παντὸς ὀνόματος ὀνομαζομένου οὐ μόνον ἐν τῷ αἰῶνι τούτῳ ἀλλὰ καὶ ἐν τῷ μέλλοντι" 
"Gal","04","26","02TZ","ἥτις ἐστὶν μήτηρ ἡμῶν γεννῶσα εἰς ἣν ἐπηγγειλάμεθα ἁγίαν ἐκκλησίαν." 
"Gal","04","31","02TZ","[διό ἀδελφοί οὐκ ἐσμὲν παιδίσκης τέκνα ἀλλὰ τῆς ἐλευθέρας]" 
"Gal","05","01","02TZ","ᾗ ἐλευθερίᾳ Χριστὸς ἡμᾶς ἠλευθέρωσεν. [στήκετε οὖν καὶ μὴ πάλιν ζυγῷ δουλίας ἐνέχεσθε.]" 
"Gal","05","03","02TZ","μαρτύρομαι δὲ πάλιν ὅτι ἄνθρωπος περιτετμημένος ὀφειλέτης ἐστὶν ὅλον τὸν νόμον πληρῶσαι." 
"Gal","05","06","02TZ","[ἐν γὰρ Χριστῷ Ἰησοῦ οὔτε περιτομή τι ἰσχύει οὔτε ἀκροβυστία ἀλλὰ πίστις] δι᾽ ἀγάπης (πληρουμένη)." 
"Gal","05","09","02TZ","[μικρὰ ζύμη ὅλον] τὸ φύραμα δολοῖ." 
"Gal","05","10","02TZ","[ἐγὼ πέποιθα εἰς ὑμᾶς ἐν κυρίῳ ὅτι οὐδὲν ἄλλο φρονήσετε· ὁ δὲ ταράσσων ὑμᾶς βαστάσει τὸ κρίμα ὅστις ἐὰν ᾖ.]" 
"Gal","05","12","02TZ","[ὄφελον καὶ ἀποκόψονται οἱ ἀναστατοῦντες ὑμᾶς.]" 
"Gal","05","14","02TZ","ὁ γὰρ πᾶς νόμος ἐν ὑμῖν πεπλήρωται· ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν." 
"Gal","05","19","02TZ","[φανερὰ δέ ἐστιν τὰ ἔργα τῆς σαρκός ἅτινά ἐστιν πορνεία ἀκαθαρσία ἀσέλγεια]" 
"Gal","05","20","02TZ","[εἰδωλολατρία φαρμακεία ἔχθραι ἔρις ζῆλος θυμοί ἐριθείαι διχοστασίαι αἱρέσεις]" 
"Gal","05","21","02TZ","[μέθαι κῶμοι ἃ προλέγω ὑμῖν] καθὼς καὶ προεῖπον [ὅτι οἱ τὰ τοιαῦτα πράσσοντες βασιλείαν θεοῦ οὐ κληρονομήσουσιν.]" 
"Gal","05","24","02TZ","[οἱ δὲ τοῦ Χριστοῦ τὴν σάρκα ἐσταύρωσαν σὺν τοῖς παθήμασιν καὶ ταῖς ἐπιθυμίαις.]" 
"Gal","06","02","02TZ","[ἀλλήλων τὰ βάρη βαστάζετε καὶ οὕτως] ἀναπληρώσετε [τὸν νόμον τοῦ Χριστοῦ.]" 
"Gal","06","06","02TZ","[κοινωνείτω δὲ ὁ κατηχούμενος τὸν λόγον τῷ κατηχοῦντι ἐν πᾶσιν ἀγαθοῖς.]" 
"Gal","06","07","02TZ","πλανᾶσθε [θεὸς οὐ μυκτηρίζεται. ὃ γὰρ ἐὰν σπείρῃ ἄνθρωπος τοῦτο καὶ θερίσει·]" 
"Gal","06","08","02TZ","[ὅτι ὁ σπείρων εἰς τὴν σάρκα ἑαυτοῦ ἐκ τῆς σαρκὸς θερίσει φθοράν ὁ δὲ σπείρων εἰς τὸ πνεῦμα ἐκ τοῦ πνεύματος θερίσει ζωὴν αἰώνιον.]" 
"Gal","06","09","02TZ","[τὸ δὲ καλὸν ποιοῦντες μὴ ἐνκακῶμεν· καιρῷ γὰρ ἰδίῳ θερίσομεν μὴ ἐκλυόμενοι.]" 
"Gal","06","10","02TZ","[ἄρα οὖν ὡς καιρὸν ἔχωμεν ἐργαζώμεθα τὸ ἀγαθὸν πρὸς πάντας μάλιστα δὲ πρὸς τοὺς οἰκείους τῆς πίστεως.]" 
"Gal","06","13a","02TZ","[οὐδὲ γὰρ οἱ περιτεμνόμενοι αὐτοὶ νόμον φυλάσσουσιν]" 
"Gal","06","14b","02TZ","[δι᾽ οὗ ἐμοὶ κόσμος ἐσταύρωται κἀγὼ κόσμῳ·]" 
"Gal","06","16","02TZ","[(καὶ ὅσοι τῷ κανόνι τούτῳ στοιχήσουσιν εἰρήνη ἐπ᾽ αὐτοὺς καὶ ἔλεος καὶ ἐπὶ τὸν Ἰσραὴλ τοῦ θεοῦ.)]" 
"Gal","06","17","02TZ","τῶν δ᾽ἄλλων εἰκῇ κόπους μοι μηδεὶς παρέχεσθω· ἐγὼ γὰρ τὰ στίγματα τοῦ Ἰησοῦ ἐν τῷ σώματί μου βαστάζω." 
"1Cr","00","00","02TZ","πρὸς Κορινθίους α᾽." 
"1Cr","01","01","02TZ","[Παῦλος κλητὸς ἀπόστολος Χριστοῦ Ἰησοῦ διὰ θελήματος θεοῦ καὶ Σωσθένης ὁ ἀδελφὸς]" 
"1Cr","01","02","02TZ","[τῇ ἐκκλησίᾳ τοῦ θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ ἡγιασμένοις ἐν Χριστῷ Ἰησοῦ κλητοῖς ἁγίοις σὺν πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ ἐν παντὶ τόπῳ αὐτῶν καὶ ἡμῶν.]" 
"1Cr","01","03","02TZ","[χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ.]" 
"1Cr","01","18","02TZ","ὁ γὰρ σταυρὸς τοῦ Χριστοῦ τοῖς μὲν ἀπολλυμένοις μωρία ἐστίν τοῖς δὲ σῳζομένοις δύναμις καὶ σοφία θεοῦ ἐστιν." 
"1Cr","01","19","02TZ","γέγραπται γάρ [ἀπολῶ τὴν σοφίαν τῶν σοφῶν καὶ τὴν σύνεσιν τῶν συνετῶν ἀθετήσω.]" 
"1Cr","01","20b","02TZ","[οὐχὶ ἐμώρανεν ὁ θεὸς τὴν σοφίαν τοῦ κόσμου;]" 
"1Cr","01","21","02TZ","ἐπειδὴ ἐν [τῇ σοφίᾳ τοῦ θεοῦ οὐκ ἔγνω ὁ κόσμος] διὰ τῆς σοφίας τὸν κύριον [εὐδόκησεν ὁ θεὸς διὰ τῆς μωρίας τοῦ κηρύγματος σῶσαι τοὺς πιστεύοντας·]" 
"1Cr","01","22","02TZ","ἐπειδὴ Ἰουδαῖοι [σημεῖα αἰτοῦσιν καὶ Ἕλληνες σοφίαν ζητοῦσιν]" 
"1Cr","01","23","02TZ","[ἡμεῖς δὲ κηρύσσομεν Χριστὸν ἐσταυρωμένον Ἰουδαίοις μὲν σκάνδαλον ἔθνεσιν δὲ μωρίαν]" 
"1Cr","01","25","02TZ","[ὅτι τὸ μωρὸν τοῦ θεοῦ σοφώτερον τῶν ἀνθρώπων ἐστίν καὶ τὸ ἀσθενὲς τοῦ θεοῦ ἰσχυρότερον τῶν ἀνθρώπων.]" 
"1Cr","01","27","02TZ","[ἀλλὰ τὰ μωρὰ τοῦ κόσμου ἐξελέξατο ὁ θεὸς ἵνα] καταισχύνῃ τὰ σοφά [καὶ τὰ ἀσθενῆ τοῦ κόσμου ἐξελέξατο ὁ θεὸς ἵνα καταισχύνῃ τὰ ἰσχυρα]" 
"1Cr","01","28","02TZ","καὶ τὰ ἀγενῆ καὶ τὰ ἐλάχιστα καὶ τὰ ἐξουθενημένα [ἐξελέξατο ὁ θεός τὰ μὴ ὄντα ἵνα τὰ ὄντα καταργήσῃ]" 
"1Cr","01","29","02TZ","[ὅπως μὴ καυχήσηται πᾶσα σὰρξ ἐνώπιον τοῦ θεοῦ.]" 
"1Cr","01","31","02TZ","[ἵνα καθὼς γέγραπται· ὁ καυχώμενος ἐν κυρίῳ καυχάσθω.]" 
"1Cr","02","06","02TZ","[σοφίαν δὲ λαλοῦμεν ἐν τοῖς τελείοις σοφίαν δὲ οὐ τοῦ αἰῶνος τούτου οὐδὲ τῶν ἀρχόντων τοῦ αἰῶνος τούτου τῶν καταργουμένων·]" 
"1Cr","02","07","02TZ","[ἀλλὰ λαλοῦμεν θεοῦ σοφίαν ἐν μυστηρίῳ τὴν ἀποκεκρυμμένην ἣν προώρισεν ὁ θεὸς πρὸ τῶν αἰώνων εἰς δόξαν ἡμῶν]" 
"1Cr","02","08","02TZ","[ἣν οὐδεὶς τῶν ἀρχόντων τοῦ αἰῶνος τούτου ἔγνωκεν· εἰ γὰρ ἔγνωσαν οὐκ ἂν τὸν κύριον τῆς δόξης ἐσταύρωσαν.]" 
"1Cr","02","16","02TZ","[τίς γὰρ ἔγνω νοῦν κυρίου ὃς συμβιβάσει αὐτόν; ἡμεῖς δὲ νοῦν Χριστοῦ ἔχομεν.]" 
"1Cr","03","10","02TZ","[κατὰ τὴν χάριν τοῦ θεοῦ τὴν δοθεῖσάν μοι ὡς σοφὸς ἀρχιτέκτων θεμέλιον ἔθηκα ἄλλος δὲ ἐποικοδομεῖ. ἕκαστος δὲ βλεπέτω πῶς ἐποικοδομεῖ.]" 
"1Cr","03","11","02TZ","[θεμέλιον γὰρ ἄλλον οὐδεὶς δύναται θεῖναι παρὰ τὸν κείμενον ὅς ἐστιν Ἰησοῦς Χριστός.]" 
"1Cr","03","12","02TZ","[εἰ δέ τις ἐποικοδομεῖ ἐπὶ τὸν θεμέλιον χρυσίον ἀργύριον λίθους τιμίους ξύλα χόρτον καλάμην]" 
"1Cr","03","13","02TZ","[ἑκάστου τὸ ἔργον φανερὸν γενήσεται· ἡ γὰρ ἡμέρα δηλώσει ὅτι ἐν πυρὶ ἀποκαλύπτεται καὶ ἑκάστου τὸ ἔργον ὁποῖόν ἐστιν τὸ πῦρ αὐτὸ δοκιμάσει.]" 
"1Cr","03","14","02TZ","[εἴ τινος τὸ ἔργον μενεῖ ὃ ἐποικοδόμησεν μισθὸν λήμψεται·]" 
"1Cr","03","15","02TZ","[εἴ τινος τὸ ἔργον κατακαήσεται ζημιωθήσεται αὐτὸς δὲ σωθήσεται οὕτως δὲ ὡς διὰ πυρός.]" 
"1Cr","03","16","02TZ","[οὐκ οἴδατε ὅτι ναὸς θεοῦ ἐστε καὶ τὸ πνεῦμα τοῦ θεοῦ οἰκεῖ ἐν ὑμῖν;]" 
"1Cr","03","17a","02TZ","[εἴ τις τὸν ναὸν τοῦ θεοῦ] φθείρει φθαρήσεται [τοῦτον ὁ θεός·]" 
"1Cr","03","18","02TZ","[μηδεὶς ἑαυτὸν ἐξαπατάτω· εἴ τις δοκεῖ σοφὸς εἶναι ἐν ὑμῖν ἐν τῷ αἰῶνι τούτω] μωροὶ γίνεσθε ἵνα γένησθε σοφοί." 
"1Cr","03","19","02TZ","[ἡ γὰρ σοφία τοῦ κόσμου τούτου μωρία παρὰ τῷ θεῷ ἐστιν. γέγραπται γάρ· ὁ δρασσόμενος τοὺς σοφοὺς ἐν τῇ πανουργίᾳ αὐτῶν.]" 
"1Cr","03","20","02TZ","[καὶ πάλιν· κύριος γινώσκει τοὺς διαλογισμοὺς τῶν σοφῶν ὅτι εἰσὶν μάταιοι.]" 
"1Cr","03","21","02TZ","[ὥστε μηδεὶς καυχάσθω ἐν ἀνθρώποις· πάντα γὰρ ὑμῶν ἐστιν]" 
"1Cr","03","22","02TZ","[εἴτε Παῦλος εἴτε Κηφᾶς εἴτε κόσμος εἴτε ζωὴ εἴτε θάνατος εἴτε ἐνεστῶτα εἴτε μέλλοντα πάντα ὑμῶν]" 
"1Cr","03","23","02TZ","ὑμεῖς δὲ Χριστοῦ Χριστὸς δὲ θεοῦ." 
"1Cr","04","05","02TZ","[ὥστε μὴ πρὸ καιροῦ τι κρίνετε ἕως ἂν ἔλθῃ ὁ κύριος ὃς καὶ φωτίσει τὰ κρυπτὰ τοῦ σκότους καὶ φανερώσει τὰς βουλὰς τῶν καρδιῶν· καὶ τότε ὁ ἔπαινος γενήσεται ἑκάστῳ ἀπὸ τοῦ θεοῦ.]" 
"1Cr","04","09b","02TZ","[ὅτι θέατρον ἐγενήθημεν τῷ κόσμῳ καὶ ἀγγέλοις καὶ ἀνθρώποις.]" 
"1Cr","04","15","02TZ","[ἐὰν γὰρ μυρίους παιδαγωγοὺς ἔχητε ἐν Χριστῷ ἀλλ᾽ οὐ πολλοὺς πατέρας·] ἐν γὰρ τῷ εὐαγγελίῳ ἐγὼ ὑμᾶς ἐγέννησα." 
"1Cr","05","01","02TZ","[ὅλως ἀκούεται ἐν ὑμῖν πορνεία καὶ τοιαύτη πορνεία ἥτις οὐδὲ ἐν τοῖς ἔθνεσιν ὥστε γυναῖκά τινα τοῦ πατρὸς ἔχειν.]" 
"1Cr","05","03","02TZ","ἐγὼ μὲν γάρ ὡς ἀπὼν [τῷ σώματι παρὼν δὲ τῷ πνεύματι ἤδη κέκρικα ὡς παρὼν τὸν οὕτως τοῦτο κατεργασάμενον]" 
"1Cr","05","04","02TZ","ἐν τῷ ὀνόματι τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ [συναχθέντων ὑμῶν καὶ τοῦ ἐμοῦ πνεύματος] σὺν τῇ δυνάμει τοῦ κυρίου ἡμῶν Ἰησοῦ" 
"1Cr","05","05","02TZ","[παραδοῦναι τὸν τοιοῦτον τῷ σατανᾷ εἰς ὄλεθρον τῆς σαρκός ἵνα τὸ πνεῦμα σωθῇ ἐν τῇ ἡμέρᾳ τοῦ κυρίου.]" 
"1Cr","05","07","02TZ","[ἐκκαθάρατε τὴν παλαιὰν ζύμην ἵνα ἦτε νέον φύραμα καθώς ἐστε ἄζυμοι· καὶ γὰρ τὸ πάσχα ἡμῶν ἐτύθη Χριστός.]" 
"1Cr","05","13","02TZ","τοὺς δὲ ἔξω ὁ θεὸς κρινεῖ. ἐξάρατε τὸν πονηρὸν ἐξ ὑμῶν αὐτῶν." 
"1Cr","06","13b","02TZ","[τὸ δὲ σῶμα οὐ τῇ πορνείᾳ ἀλλὰ τῷ κυρίῳ καὶ ὁ κύριος τῷ σώματι·]" 
"1Cr","06","14","02TZ","[ὁ δὲ θεὸς καὶ τὸν κύριον ἤγειρεν καὶ ἡμᾶς ἐξεγερεῖ διὰ τῆς δυνάμεως αὐτοῦ.]" 
"1Cr","06","15","02TZ","[οὐκ οἴδατε ὅτι τὰ σώματα ὑμῶν μέλη Χριστοῦ ἐστιν; ἄρας οὖν τὰ μέλη τοῦ Χριστοῦ ποιήσω πόρνης μέλη; μὴ γένοιτο.]" 
"1Cr","06","16","02TZ","[ἢ οὐκ οἴδατε ὅτι ὁ κολλώμενος τῇ πόρνῃ ἓν σῶμά ἐστιν; ἔσονται γάρ φησίν οἱ δύο εἰς σάρκα μίαν.]" 
"1Cr","06","20","02TZ","[ἠγοράσθητε γὰρ τιμῆς·] δοξάσατε ἄρατε τὸν θεὸν ἐν τῷ σώματι ὑμῶν." 
