"Chapter","Verse","Version","Script" 
"03","01","05B","ἐν@pd ὁ@ddns πεντεκαιδέκατος@aodnsn ἔτος@ndnsc Τιβέριος@ngmsp Καῖσαρ@ngmsp ἡγεμονεύω@vppagms Πόντιος@ngmsp Πιλᾶτος@ngmsp ὁ@dgfs Ἰουδαία@ngfsp" 
"04","31","05B","ὁ@dnms Ἰησοῦς@nnmsp κατέρχομαι@viaa3s εἰς@pa Καφαρναούμ@nafsp πόλις@nafsc ὁ@dgfs Γαλιλαία@ngfsp καί@cc εἰμί@viia3s διδάσκω@vppanms αὐτός@rpamp ἐν@pd ὁ@ddfs συναγωγή@ndfsc" 
"04","32","05B","καί@cc ἐκπλήσσω@viip3p ἐπί@pd ὁ@ddfs διδαχή@ndfsc αὐτός@rpgms ὅτι@cs ἐν@pd ἐξουσία@ndfsc εἰμί@viia3s ὁ@dnms λόγος@nnmsc αὐτός@rpgms" 
"04","33","05B","καί@cc ἐν@pd ὁ@ddfs συναγωγή@ndfsc εἰμί@viia3s ἄνθρωπος@nnmsc ἔχω@vppanms πνεῦμα@nansc δαιμόνιον@ngnsc καί@cc ἀνακράζω@viaa3s φωνή@ndfsc μέγας@andfsn" 
"04","34","05B","τίς@rqnns ἐγώ@rpd-p καί@cc σύ@rpd-s Ἰησοῦς@nvmsp ἔρχομαι@viaa2s ἀπόλλυμι@vnaa ἐγώ@rpa-p οἶδα@vixa1s σύ@rpa-s τίς@rqnms εἰμί@vipa2s ὁ@dnms ἅγιος@annmsn ὁ@dgms θεός@ngmsc" 
"04","35","05B","καί@cc ἐπιτιμάω@viaa3s αὐτός@rpdns ὁ@dnms Ἰησοῦς@nnmsp ()" 
"04","16","05B","καί@cc ἔρχομαι@viaa3s εἰς@pa Ναζαρά@nafsp ὅπου@cs εἰμί@viia3s κατά@pa ὁ@dans εἴωθα@vpxaans ἐν@pd ὁ@ddfs ἡμέρα@ndfsc ὁ@dgnp σάββατον@ngnpc εἰς@pa ὁ@dafs συναγωγή@nafsc" 
"04","23","05B","καί@cc λέγω@viaa3s πρός@pa αὐτός@rpamp πάντως@b λέγω@vifa2p ἐγώ@rpd-s ὁ@dafs παραβολή@nafsc οὗτος@rdafs ἰατρός@nvmsc θεραπεύω@vdaa2s σεαυτοῦ@rxams [ὅσος@rranp ἀκούω@viaa1p γίνομαι@vpamanp εἰς@pa ὁ@dafs Καφαρναούμ@nafsp ποιέω@vdaa2s καί@b ὧδε@b] ()" 
"04","29","05B","καί@cc ἀνίστημι@vpaanmp ἐκβάλλω@viaa3p αὐτός@rpams ἔξω@pg ὁ@dgfs πόλις@ngfsc καί@cc ἄγω@viaa3p αὐτός@rpams ἕως@pg ὁ@dgfs ὀφρύς@ngfsc ὁ@dgns ὄρος@ngnsc ἐπί@pg ὅς@rrgns ὁ@dnfs πόλις@nnfsc οἰκοδομέω@viyp3s αὐτός@rpgmp ὥστε@cs κατακρημνίζω@vnaa αὐτός@rpams" 
"04","30","05B","αὐτός@rtnms δέ@cc διέρχομαι@vpaanms διά@pg μέσος@angnsn αὐτός@rpgmp πορεύομαι@viim3s" 
"04","40","05B","() [ἀσθενέω@vppaamp νόσος@ndfpc ποικίλος@andfpn ()] () ὁ@dnms δέ@cc εἷς@acdmsn ἕκαστος@aidmsn αὐτός@rpgmp ὁ@dafp χείρ@nafpc ἐπιτίθημι@vppanms θεραπεύω@viia3s αὐτός@rpamp" 
"04","41","05B","ἐξέρχομαι@viim3p δέ@cc καί@b δαιμόνιον@nnnpc ἀπό@pg πολύς@angmpn κραυγάζω@vppannp καί@cc λέγω@vppannp ὅτι@cs σύ@rpn-s εἰμί@vipa2s ὁ@dnms υἱός@nnmsc ὁ@dgms θεός@ngmsc καί@cc ἐπιτιμάω@vppanms οὐ@b ἐάω@viia3s αὐτός@rpanp λαλέω@vnpa" 
"04","42","05B","γίνομαι@vpamgfs δέ@cc ἡμέρα@ngfsc ἐξέρχομαι@vpaanms πορεύομαι@viap3s εἰς@pa ἔρημος@anamsn τόπος@namsc καί@cc ὁ@dnmp ὄχλος@nnmpc ἐπιζητέω@viia3p αὐτός@rpams καί@cc ἔρχομαι@viaa3p ἕως@pg αὐτός@rpgms καί@cc κατέχω@viia3p αὐτός@rpams ὁ@dgns μή@x πορεύομαι@vnpm ἀπό@pg αὐτός@rpgmp" 
"04","43","05B","ὁ@dnms δέ@cc λέγω@viaa3s πρός@pa αὐτός@rpamp ὅτι@cs καί@b ὁ@ddfp ἕτερος@aidfpn πόλις@ndfpc εὐαγγελίζω@vnam ἐγώ@rpa-s δεῖ@vipa3s ὁ@dafs βασιλεία@nafsc ὁ@dgms θεός@ngmsc ()" 
"05","02","05B","() ἁλιεύς@nnmpc ()" 
"05","03","05B","() Σίμων@nnmsp ()" 
"05","06","05B","() συγκλείω@viaa3p πλῆθος@nansc ἰχθύς@ngmpc πολύς@anansn ()" 
"05","08","05B","() Πέτρος@nnmsp ()" 
"05","09","05B","θάμβος@nnmsc γάρ@cc περιέχω@viaa3s αὐτός@rpams ()" 
"05","10","05B","ὁμοίως@b δέ@cc () υἱός@nampc Ζεβεδαῖος@ngmsp () καί@cc λέγω@viaa3s πρός@pa ὁ@dams Σίμων@namsp ὁ@dnms Ἰησοῦς@nnmsp μή@x φοβέω@vdpm2s ἀπό@pg ὁ@dgns νῦν@b ἄνθρωπος@nampc εἰμί@vifm2s ζωγρέω@vppanms" 
"05","11","05B","καί@cc () ὁ@danp πλοῖον@nanpc () ἀφίημι@vpaanmp () ἀκολουθέω@viaa3p αὐτός@rpdms" 
