"Chapter","Verse","Version","Script" 
"03","01","01H","ἐν ἔτει πεντεκαιδεκάτῳ τῆς ἡγεμονίας Τιβερίου Καίσαρος []" 
"04","31","01H","ὁ θεὸς κατῆλθεν εἰς Καπερναοὺμ πόλιν τῆς Γαλιλαίας καὶ ἦν διδάσκων ἐν τοῖς σάββασι." 
"04","32","01H","καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ· ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτοῦ." 
"04","33","01H","καὶ ἐν τῇ συναγωγῇ ἦν ἄνθρωπος ἔχων πνεῦμα δαιμονίου ἀκαθάρτου καὶ ἀνέκραξε φωνῇ μεγάλῃ." 
"04","34","01H","λέγων· ἔα τί ἡμῖν καὶ σοὶ Ἰησοῦ; ἦλθες ἀπολέσαι ἡμᾶς· οἶδά σε τίς εἶ ὁ ἅγιος τοῦ θεοῦ." 
"04","35","01H","καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς λέγων· φιμώθητι καὶ ἔξελθε ἐξ αὐτοῦ. καὶ ῥῖψαν αὐτὸν τὸ δαιμόνιον εἰς μέσον ἐξῆλθεν ἀπ᾽ αὐτοῦ μηδὲν βλάψαν αὐτόν." 
"04","36","01H","καὶ ἐγένετο θάμβος ἐπὶ πάντας καὶ συνελάλουν πρὸς ἀλλήλους λέγοντες· τίς ὁ λόγος οὗτος ὅτι ἐν ἐξουσίᾳ καὶ δυνάμει ἐπιτάσσει τοῖς ἀκαθάρτοις πνεύμασιν καὶ ἐξέρχονται;" 
"04","37","01H","καὶ ἐξεπορεύετο ἦχος περὶ αὐτοῦ εἰς πάντα τόπον τῆς περιχώρου." 
"04","38","01H","ἀναστὰς δὲ ἐκ τῆς συναγωγῆς εἰσῆλθεν εἰς τὴν οἰκίαν Σίμωνος· πενθερὰ δὲ τοῦ Σίμωνος ἦν συνεχομένη πυρετῷ μεγάλῳ καὶ ἐρώτησαν αὐτὸν περὶ αὐτῆς." 
"04","39","01H","καὶ ἐπιστὰς ἐπάνω αὐτῆς ἐπετίμησε τῷ πυρετῷ καὶ ἀφῆκεν αὐτήν. παραχρῆμα δὲ ἀναστᾶσα διηκόνει αὐτοῖς." 
"04","16","01H","καὶ ἦλθεν εἰς τὴν Ναζαρὲτ, καὶ εἰσῆλθεν εἰς τὴν συναγωγήν." 
"04","20","01H","καὶ ἐκάθισε· καὶ πάντων ἐν τῇ συναγωγῇ οἱ ὀφθαλμοὶ ἦσαν ἀτενίζοντες αὐτῷ." 
"04","21","01H","ἤρξατο δὲ λέγειν πρὸς αὐτούς." 
"04","22","01H","καὶ πάντες ἐθαύμαζον ἐπὶ τοῖς λόγοις τοῖς ἐκπορευομένοις ἐκ τοῦ στόματος αὐτοῦ." 
"04","23","01H","καὶ εἶπε πρὸς αὐτούς· πάντως ἐρεῖτέ μοι τὴν παραβολὴν ταύτην· ἰατρὲ θεράπευσον σεαυτόν· ὅσα ἠκούσαμεν γενόμενα εἰς Καφαρναοὺμ ποίησον καὶ ὧδε." 
"04","28","01H","καὶ ἐπλήσθησαν πάντες θυμοῦ ἐν τῇ συναγωγῇ ἀκούοντες ταῦτα." 
"04","29","01H","καὶ ἀναστάντες ἐξέβαλον αὐτὸν ἔξω τῆς πόλεως· καὶ ἤγαγον αὐτὸν ἕως τῆς ὀφρύος τοῦ ὄρους ἐφ᾽ οὗ ἡ πόλις αὐτῶν ᾠκοδόμητο ὥστε κατακρημνίσαι αὐτόν." 
"04","30","01H","αὐτὸς δὲ διελθὼν διὰ μέσου αὐτῶν ἐπορεύετο." 
"04","40","01H","δύνοντος δὲ τοῦ ἡλίου πάντες ὅσοι εἶχον ἀσθενοῦντας νόσοις ποικίλαις ἤγαγον αὐτοὺς πρὸς αὐτόν· ὁ δὲ ἑνὶ ἑκάστῳ αὐτῶν τὰς χεῖρας ἐπιτιθεὶς ἐθεράπευεν αὐτούς." 
"04","41","01H","ἐξήρχετο δὲ καὶ δαιμόνια ἀπὸ πολλῶν κράζοντα καὶ λέγοντα· ὅτι σὺ εἶ ὁ υἱὸς τοῦ θεοῦ. καὶ ἐπιτιμῶν οὐκ εἴα αὐτὰ λαλεῖν ὅτι ᾔδεισαν τὸν Χριστὸν αὐτὸν εἶναι." 
