"Chapter","Verse","Version","Script" 
"03","01","03V","ἐν τῷ ιε' ἔτει Τιβερίου Καίσαρος ἐπι τῶν χρόνων Πιλάτου" 
"04","31","03V","κατῆλθεν ὁ Ἰησοῦς ([]) () εἰς Καφαρναοὺμ ([]) καὶ ἦν διδάσκων () ἐν τῇ συναγωγῇ" 
"04","32","03V","ἐξεπλήσσοντο δὲ πάντες ἐπὶ τῇ διδαχῆ αὐτοῦ ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτου" 
"04","34","03V","τί ἡμῖν καὶ σοί Ἰησοῦ ἦλθες ἀπολέσαι ἡμᾶς οἶδα τίς εἶ ὁ ἅγιος τοῦ θεοῦ" 
"04","35","03V","() ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς" 
"04","16","03V","ἐλθὼν δὲ εἰς Ναζαρέθ ὅπου ἦν κατὰ τὸ εἰωθὸς ἐν τῇ ἡμέρᾳ τῶν σαββάτων εἰς τὴν συναγωγὴν" 
"04","23","03V","ἰατρέ θεράπευσον σεαυτόν" 
"04","29","03V","ἐξέβαλον αὐτόν () ἤγαγον αὐτὸν ἕως τῆς ὀφρύος τοῦ ὄρους" 
"04","30","03V","διὰ μέσου αὐτῶν ἐπορεύετο" 
"04","40","03V","()" 
"04","41","03V","ἐξήρχετο δαιμόνια κράζοντα σὺ εἶ ὁ υἱὸς τοῦ θεοῦ ἐπιτιμῶν οὐκ εἴα αὐτὰ λαλεῖν" 
"04","42","03V","ἐπορεύθη εἰς ἔρημον () κατεῖχον αὐτόν" 
"04","43","03V","δεῖ με καὶ ταῖς ἄλλαις [] πόλεσιν εὐαγγελίσασθαι τὴν βασιλείαν τοῦ θεοῦ" 
"05","01","02V","()" 
"05","02","02V","()" 
"05","03","03V","Σίμων" 
"05","04","02V","()" 
"05","05","02V","()" 
"05","06","02V","()" 
"05","07","02V","()" 
"05","08","02V","()" 
"05","09","03V","[θάμβος] [ἐπὶ τῇ ἄγρᾳ τῶν ἰχθύων]" 
"05","10","03V","υἱοὺς Ζεβεδαίου () μὴ φοβοῦ ἀπὸ τοῦ νῦν γὰρ ἀνθρώπους ἔσῃ ζωγρῶν" 
"05","11","03V","ἀφέντες ἠκολούθησαν αὐτῷ" 
"05","12","03V","ἀνὴρ λεπρός" 
"05","13","03V","ἥψατο" 
"05","14","03V","ἄπελθε δεῖξον σεαυτὸν τῷ ἱερεῖ καὶ προσένεγκε τὸ δῶρον () ὃ προσέταξεν Μωϋσῆς ἵνα ᾖ ὑμῖν [] εἰς μαρτύριον" 
"05","17","03V","()" 
"05","18","03V","παραλελυμένος" 
"05","19","03V","()" 
"05","20","03V","()" 
"05","21","03V","() δύναται ἀφεῖναι ἁμαρτίας εἰ μὴ μόνος ὁ θεός" 
"05","22","03V","()" 
"05","23","03V","()" 
"05","24","03V","ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἀφιέναι ἁμαρτίας ἐπὶ τῆς γῆς () ἔγειρε καὶ ἆρον τὸν κράβατόν σου" 
"05","25","03V","()" 
"05","27","03V","τελώνης" 
"05","29","03V","()" 
