"Chapter","Verse","Version","Script" 
"03","01","04TS","anno quintodecimo Tiberii Caesaris" 
"04","31a","04TS","(descendit [Christus Iesus] de caelo in [Capharnaum civitatem Galilaeae]) (statim venit in synagogam ad docendum)." 
"04","32","04TS","stupebant autem omnes ad doctrinam eius quoniam in potestate erat sermo eius." 
"04","33","04TS","(spiritus daemonis exclamavit)." 
"04","34","04TS","quid nobis et tibi est Iesu? venisti perdere nos. scio qui sis sanctus dei." 
"04","35","04TS","(increpuit illum Iesus)." 
"04","36","04TS","()" 
"04","37","04TS","()" 
"04","16","04TS","(apud Nazareth)" 
"04","23a","04TS","(unum proverbium)." 
"04","28","04TS","()" 
"04","29","04TS","(eiectus) (ad praecipitium usque)" 
"04","30","04TS","(per medios evasit)." 
"04","40","04TS","()" 
"04","41","04TS","(daemonia excedebant vociferantes) tu es filius dei. (increpabantur et iubebantur tacere)." 
"04","42","04TS","(in solitudinem) (detentes a turbis)." 
"04","43","04TS","() oportet me et aliis civitatibus annuntiare regnum dei." 
"05","01","04TS","()" 
"05","02","04TS","()" 
"05","03","04TS","Simon" 
"05","04","04TS","()" 
"05","05","04TS","()" 
"05","06","04TS","()" 
"05","07","04TS","()" 
"05","08","04TS","()" 
"05","09","04TS","()" 
"05","10","04TS","filii Zebedaei () dixit () ne time abhinc enim homines eris capiens." 
"05","11","04TS","(relictis naviculis) secuti sunt eum." 
"05","12","04TS","() leprosus ()" 
"05","13","04TS","() tetigit ()" 
"05","14","04TS","(vetuit divulgare) vade ostende te sacerdoti et offer munus quod praecepit Moyses ut sit vobis in testimonium." 
"05","17","04TS","()" 
"05","18","04TS","() paralyticus ()" 
"05","19","04TS","()" 
"05","20","04TS","()" 
"05","21","04TS","() quis [potest peccata dimittere] nisi solus deus?" 
"05","22","04TS","()" 
"05","23","04TS","()" 
"05","24a","04TS","() [filius hominis potestatem habet dimittendi peccata]" 
"05","24b","04TS","() exsurge et tolle grabatum tuum." 
"05","25","04TS","()" 
"05","26","04TS","()" 
"05","27","04TS","() publicanus ()" 
"05","28","04TS","()" 
"05","29","04TS","()" 
"05","30","04TS","()" 
"05","31","04TS","() (medicum sanis non esse necessarium sed male habentibus)." 
"05","33","04TS","(discipuli Iohannis assidue ieiunant et orant) () (discipuli Christi manducant et bibunt)" 
"05","34","04TS","(non possunt ieiunare filii sponsi quamdiu cum eis esset sponsus)." 
"05","35","04TS","(vero ieiunaturi cum ablatus ab eis sponsus esset)." 
"05","36a","04TS","() similitudo ()" 
"05","37","04TS","(vinum novum non committit in veteres utres)" 
"05","38","04TS","()" 
"05","36b","04TS","(additamentum panni [rudis] nemo inicit veteri vestimento)." 
"06","01","04TS","() sabbato () (discipuli eius spicas decerptas efflixerant manibus)" 
"06","02","04TS","() pharisaei ()" 
"06","03","04TS","() David ()" 
"06","04","04TS","(introgressus sabbatis templum fractis panibus propositionis) ()." 
