"book","chapter","verse","edition","text"
"Ev","3","01","2.06","ἐν (τῷ) ἔτει πεντεκαιδεκάτῳ (τῆς ἡγεμονίας) Τιβερίου Καίσαρος ἐπι τῶν χρόνων (Ποντίου) Πιλάτου ()"
"Ev","4","31","2.06","() κατῆλθεν εἰς Καφαρναοὺμ πόλιν τῆς Γαλιλαίας () ἦν διδάσκων () ἐν τῇ συναγωγῇ"
"Ev","4","32","2.06","() ἐξεπλήσσοντο (δὲ) πάντες ἐπὶ τῇ διδαχῆ αὐτοῦ ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτου"
"Ev","4","34","2.06","() τί ἡμῖν καὶ σοί Ἰησοῦ; ἦλθες ἀπολέσαι ἡμᾶς; οἶδα (σε) τίς εἶ ὁ ἅγιος τοῦ θεοῦ"
"Ev","4","35","2.06","() ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς ()"
"Ev","4","16","2.06","() Ναζαρέθ ()"
"Ev","4","23","2.06","() (ἰατρέ θεράπευσον σεαυτόν) ()"
"Ev","4","29","2.06","() ἐξέβαλον αὐτόν () ἤγαγον αὐτὸν ἕως ὀφρύος τοῦ ὄρους ()"
"Ev","4","30","2.06","() διὰ μέσου αὐτῶν ἐπορεύετο"
"Ev","4","40","2.06","() τὰς χεῖρας (ἐπιτιθεὶς ἐθεράπευεν) αὐτούς"
"Ev","4","41","2.06","(ἐξήρχοντο) (δὲ καί) δαιμόνια () (κραυγάζοντα) () σὺ εἶ ὁ υἱὸς τοῦ θεοῦ (καί) ἐπιτιμῶν (οὐκ εἴα αὐτὰ λαλεῖν) ()"
"Ev","4","42","2.06","() (ἐπορεύθη) εἰς ἔρημον () οἱ ὄχλοι () κατεῖχον αὐτόν ()"
"Ev","4","43","2.06","() δεῖ με (καὶ ταῖς ἑτέραις πόλεσιν) εὐαγγελίσασθαι τὴν βασιλείαν τοῦ θεοῦ ()"
"Ev","5","02","2.06","() (οἱ ἁλιεῖς) ()"
"Ev","5","09","2.06","θάμβος (γὰρ περιέσχεν) αὐτόν () ἐπὶ τῇ ἄγρᾳ τῶν ἰχθύων ()"
"Ev","5","10","2.06","() (υἱοὺς) Ζεβεδαίου () (τῶ Σίμωνι) () (εἶπεν πρὸς τὸν Σίμωνα) () μὴ φοβοῦ ἀπὸ τοῦ νῦν (γὰρ) ἀνθρώπους ἔσῃ ζωγρῶν"
"Ev","5","11","2.06","() πλοῖα () ἀφέντες () ἠκολούθησαν αὐτῷ"
"Ev","5","12","2.06","() (λέπρας) ()"
"Ev","5","13","2.06","() ἥψατο () (λέγων θέλω καθαρίσθητι καὶ εὐθέως ἡ λέπρα ἀπῆλθεν ἀπ᾽ αὐτοῦ)"
"Ev","5","14","2.06","ἀπελθὼν δεῖξον σεαυτὸν τῷ ἱερεῖ καὶ προσένεγκε (τὸ δῶρον) περὶ τοῦ καθαρισμοῦ σου καθὼς προσέταξεν Μωϋσῆς ἵνα ᾖ εἰς μαρτύριον τοῦτο ὑμῖν"
"Ev","5","17","2.06","()"
"Ev","5","18","2.06","() (ἄνθρωπον ὅς ἦν παραλελυμένος) ()"
"Ev","5","20","2.06","()"
"Ev","5","21","2.06","() τίς (δύναται) ἀφεῖναι ἁμαρτίας εἰ μὴ μόνος ὁ θεός"
