"book","chapter","verse","edition","text" 
"Ev","3","01","2.01","ἐν@pd ἔτος@ndnsc πεντεκαιδέκατος@aodnsn ὁ@dgfs ἡγεμονία@ngfsc Τιβέριος@ngmsp Καῖσαρ@ngmsp []" 
"Ev","4","31","2.01","ὁ@dnms θεός@nnmsc κατέρχομαι@viaa3s εἰς@pa Καφαρναούμ@nafsp πόλις@nafsc ὁ@dgfs Γαλιλαία@ngfsp καί@cc εἰμί@viia3s διδάσκω@vppanms ἐν@pd ὁ@ddnp σάββατον@ndnpc" 
"Ev","4","32","2.01","καί@cc ἐκπλήσσω@viip3p ἐπί@pd ὁ@ddfs διδαχή@ndfsc αὐτός@rpgms ὅτι@cs ἐν@pd ἐξουσία@ndfsc εἰμί@viia3s ὁ@dnms λόγος@nnmsc αὐτός@rpgms" 
"Ev","4","33","2.01","καί@cc ἐν@pd ὁ@ddfs συναγωγή@ndfsc εἰμί@viia3s ἄνθρωπος@nnmsc ἔχω@vppanms πνεῦμα@nansc δαιμόνιον@ngnsc ἀκάθαρτος@angnsn καί@cc ἀνακράζω@viaa3s φωνή@ndfsc μέγας@andfsn" 
"Ev","4","34","2.01","λέγω@vppanms ἔα@i τίς@rqnns ἐγώ@rpd-p καί@cc σύ@rpd-s Ἰησοῦς@nvmsp ἔρχομαι@viaa2s ἀπόλλυμι@vnaa ἐγώ@rpa-p οἶδα@vixa1s σύ@rpa-s τίς@rqnms εἰμί@vipa2s ὁ@dnms ἅγιος@annmsn ὁ@dgms θεός@ngmsc" 
"Ev","4","35","2.01","καί@cc ἐπιτιμάω@viaa3s αὐτός@rpdns ὁ@dnms Ἰησοῦς@nnmsp λέγω@vppanms φιμόω@vdap2s καί@cc ἐξέρχομαι@vdaa2s ἐκ@pg αὐτός@rpgms καί@cc ῥίπτω@vpaanns αὐτός@rpams ὁ@dnns δαιμόνιον@nnnsc εἰς@pa μέσος@anansn ἐξέρχομαι@viaa3s ἀπό@pg αὐτός@rpgms μηδείς@rians βλάπτω@vpaanns αὐτός@rpams" 
"Ev","4","36","2.01","καί@cc γίνομαι@viam3s θάμβος@nnmsc ἐπί@pa πᾶς@aiampn καί@cc συλλαλέω@viia3p πρός@pa ἀλλήλων@reamp λέγω@vppanmp τίς@rqnms ὁ@dnms λόγος@nnmsc οὗτος@rdnms ὅτι@cs ἐν@pd ἐξουσία@ndfsc καί@cc δύναμις@ndfsc ἐπιτάσσω@vipa3s ὁ@ddnp ἀκάθαρτος@andnpn πνεῦμα@ndnpc καί@cc ἐξέρχομαι@vipm3p" 
"Ev","4","37","2.01","καί@cc ἐκπορεύομαι@viim3s ἦχος@nnmsc περί@pg αὐτός@rpgms εἰς@pa πᾶς@aiamsn τόπος@namsc ὁ@dgfs περίχωρος@angfsn" 
"Ev","4","38","2.01","ἀνίστημι@vpaanms δέ@cc ἐκ@pg ὁ@dgfs συναγωγή@ngfsc εἰσέρχομαι@viaa3s εἰς@pa ὁ@dafs οἰκία@nafsc Σίμων@ngmsp πενθερά@nnfsc δέ@cc ὁ@dgms Σίμων@ngmsp εἰμί@viia3s συνέχω@vpppnfs πυρετός@ndmsc μέγας@andmsn καί@cc ἐρωτάω@viaa3p αὐτός@rpams περί@pg αὐτός@rpgfs" 
"Ev","4","39","2.01","καί@cc ἐφίστημι@vpaanms ἐπάνω@pg αὐτός@rpgfs ἐπιτιμάω@viaa3s ὁ@ddms πυρετός@ndmsc καί@cc ἀφίημι@viaa3s αὐτός@rpafs παραχρῆμα@b δέ@cc ἀνίστημι@vpaanfs διακονέω@viia3s αὐτός@rpdmp" 
"Ev","4","16","2.01","καί@cc ἔρχομαι@viaa3s εἰς@pa ὁ@dafs Ναζαρά@nafsp καί@cc εἰσέρχομαι@viaa3s εἰς@pa ὁ@dafs συναγωγή@nafsc" 
