"book","chapter","verse","edition","text"
"Ev","3","01","2.01","ἐν ἔτει πεντεκαιδεκάτῳ τῆς ἡγεμονίας Τιβερίου Καίσαρος []"
"Ev","4","31","2.01","ὁ θεὸς κατῆλθεν εἰς Καπερναοὺμ πόλιν τῆς Γαλιλαίας καὶ ἦν διδάσκων ἐν τοῖς σάββασι."
"Ev","4","32","2.01","καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ· ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτοῦ."
"Ev","4","33","2.01","καὶ ἐν τῇ συναγωγῇ ἦν ἄνθρωπος ἔχων πνεῦμα δαιμονίου ἀκαθάρτου καὶ ἀνέκραξε φωνῇ μεγάλῃ."
"Ev","4","34","2.01","λέγων· ἔα τί ἡμῖν καὶ σοὶ Ἰησοῦ; ἦλθες ἀπολέσαι ἡμᾶς· οἶδά σε τίς εἶ ὁ ἅγιος τοῦ θεοῦ."
"Ev","4","35","2.01","καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς λέγων· φιμώθητι καὶ ἔξελθε ἐξ αὐτοῦ. καὶ ῥῖψαν αὐτὸν τὸ δαιμόνιον εἰς μέσον ἐξῆλθεν ἀπ᾽ αὐτοῦ μηδὲν βλάψαν αὐτόν."
"Ev","4","36","2.01","καὶ ἐγένετο θάμβος ἐπὶ πάντας καὶ συνελάλουν πρὸς ἀλλήλους λέγοντες· τίς ὁ λόγος οὗτος ὅτι ἐν ἐξουσίᾳ καὶ δυνάμει ἐπιτάσσει τοῖς ἀκαθάρτοις πνεύμασιν καὶ ἐξέρχονται;"
"Ev","4","37","2.01","καὶ ἐξεπορεύετο ἦχος περὶ αὐτοῦ εἰς πάντα τόπον τῆς περιχώρου."
"Ev","4","38","2.01","ἀναστὰς δὲ ἐκ τῆς συναγωγῆς εἰσῆλθεν εἰς τὴν οἰκίαν Σίμωνος· πενθερὰ δὲ τοῦ Σίμωνος ἦν συνεχομένη πυρετῷ μεγάλῳ καὶ ἐρώτησαν αὐτὸν περὶ αὐτῆς."
"Ev","4","39","2.01","καὶ ἐπιστὰς ἐπάνω αὐτῆς ἐπετίμησε τῷ πυρετῷ καὶ ἀφῆκεν αὐτήν. παραχρῆμα δὲ ἀναστᾶσα διηκόνει αὐτοῖς."
"Ev","4","16","2.01","καὶ ἦλθεν εἰς τὴν Ναζαρὲτ, καὶ εἰσῆλθεν εἰς τὴν συναγωγήν."
"Ev","4","20","2.01","καὶ ἐκάθισε· καὶ πάντων ἐν τῇ συναγωγῇ οἱ ὀφθαλμοὶ ἦσαν ἀτενίζοντες αὐτῷ."
"Ev","4","21","2.01","ἤρξατο δὲ λέγειν πρὸς αὐτούς."
"Ev","4","22","2.01","καὶ πάντες ἐθαύμαζον ἐπὶ τοῖς λόγοις τοῖς ἐκπορευομένοις ἐκ τοῦ στόματος αὐτοῦ."
"Ev","4","23","2.01","καὶ εἶπε πρὸς αὐτούς· πάντως ἐρεῖτέ μοι τὴν παραβολὴν ταύτην· ἰατρὲ θεράπευσον σεαυτόν· ὅσα ἠκούσαμεν γενόμενα εἰς Καφαρναοὺμ ποίησον καὶ ὧδε."
"Ev","4","28","2.01","καὶ ἐπλήσθησαν πάντες θυμοῦ ἐν τῇ συναγωγῇ ἀκούοντες ταῦτα."
"Ev","4","29","2.01","καὶ ἀναστάντες ἐξέβαλον αὐτὸν ἔξω τῆς πόλεως· καὶ ἤγαγον αὐτὸν ἕως τῆς ὀφρύος τοῦ ὄρους ἐφ᾽ οὗ ἡ πόλις αὐτῶν ᾠκοδόμητο ὥστε κατακρημνίσαι αὐτόν."
"Ev","4","30","2.01","αὐτὸς δὲ διελθὼν διὰ μέσου αὐτῶν ἐπορεύετο."
"Ev","4","40","2.01","δύνοντος δὲ τοῦ ἡλίου πάντες ὅσοι εἶχον ἀσθενοῦντας νόσοις ποικίλαις ἤγαγον αὐτοὺς πρὸς αὐτόν· ὁ δὲ ἑνὶ ἑκάστῳ αὐτῶν τὰς χεῖρας ἐπιτιθεὶς ἐθεράπευεν αὐτούς."
"Ev","4","41","2.01","ἐξήρχετο δὲ καὶ δαιμόνια ἀπὸ πολλῶν κράζοντα καὶ λέγοντα· ὅτι σὺ εἶ ὁ υἱὸς τοῦ θεοῦ. καὶ ἐπιτιμῶν οὐκ εἴα αὐτὰ λαλεῖν ὅτι ᾔδεισαν τὸν Χριστὸν αὐτὸν εἶναι."
"Ev","4","42","2.01","γενομένης δὲ ἡμέρας ἐξελθὼν ἐπορεύθη εἰς ἔρημον τόπον· καὶ οἱ ὄχλοι ἐπεζήτουν αὐτὸν καὶ ἦλθον ἕως αὐτοῦ καὶ κατεῖχον αὐτὸν τοῦ μὴ πορεύεσθαι ἀπ᾽ αὐτῶν."
"Ev","4","43","2.01","ὁ δὲ εἶπε πρὸς αὐτούς· ὅτι καὶ ταῖς ἑτέραις πόλεσιν εὐαγγελίσασθαί με δεῖ τὴν βασιλείαν τοῦ θεοῦ ὅτι εἰς τοῦτο ἀπέσταλμαι."
"Ev","4","44","2.01","καὶ ἦν κηρύσσων ἐν ταῖς συναγωγαῖς τῆς Γαλιλαίας."
"Ev","5","01","2.01","ἐγένετο δὲ ἐν τῷ τὸν ὄχλον ἐπικεῖσθαι αὐτῷ καὶ ἀκούειν τὸν λόγον τοῦ θεοῦ καὶ αὐτὸς ἦν ἑστὼς παρὰ τὴν λίμνην Γεννησαρέτ·"
"Ev","5","02","2.01","καὶ εἶδε δύο πλοῖα ἑστῶτα παρὰ τὴν λίμνην· οἱ δὲ ἁλιεῖς ἀποβάντες ἀπ᾽ αὐτῶν ἀπέπλυναν τὰ δίκτυα."
"Ev","5","03","2.01","ἐμβὰς δὲ εἰς ἓν τῶν πλοίων ὃ ἦν τοῦ Σίμωνος ἠρώτησεν αὐτὸν ἀπὸ τῆς γῆς ἐπαναγαγεῖν ὀλίγον· καὶ καθίσας ἐδίδασκεν ἐκ τοῦ πλοίου τοὺς ὄχλους."
"Ev","5","04","2.01","ὡς δὲ ἐπαύσατο λαλῶν εἶπε πρὸς τὸν Σίμωνα· ἐπανάγαγε εἰς τὸ βάθος καὶ χαλάσατε τὰ δίκτυα ὑμῶν εἰς ἄγραν."
