"book","chapter","verse","edition","text"
"Ev","3","01","2.04","anno quintodecimo Tiberii Caesaris"
"Ev","4","31a","2.04","(descendit [Christus Iesus] de caelo in [Capharnaum civitatem Galilaeae]) (statim venit in synagogam ad docendum)."
"Ev","4","32","2.04","stupebant autem omnes ad doctrinam eius quoniam in potestate erat sermo eius."
"Ev","4","33","2.04","(spiritus daemonis exclamavit)."
"Ev","4","34","2.04","quid nobis et tibi est Iesu? venisti perdere nos. scio qui sis sanctus dei."
"Ev","4","35","2.04","(increpuit illum Iesus)."
"Ev","4","36","2.04","()"
"Ev","4","37","2.04","()"
"Ev","4","16","2.04","(apud Nazareth)"
"Ev","4","23a","2.04","(unum proverbium)."
"Ev","4","28","2.04","()"
"Ev","4","29","2.04","(eiectus) (ad praecipitium usque)"
"Ev","4","30","2.04","(per medios evasit)."
"Ev","4","40","2.04","()"
"Ev","4","41","2.04","(daemonia excedebant vociferantes) tu es filius dei. (increpabantur et iubebantur tacere)."
"Ev","4","42","2.04","(in solitudinem) (detentes a turbis)."
"Ev","4","43","2.04","() oportet me et aliis civitatibus annuntiare regnum dei."
"Ev","5","01","2.04","()"
"Ev","5","02","2.04","()"
"Ev","5","03","2.04","Simon"
"Ev","5","04","2.04","()"
"Ev","5","05","2.04","()"
"Ev","5","06","2.04","()"
"Ev","5","07","2.04","()"
"Ev","5","08","2.04","()"
"Ev","5","09","2.04","()"
"Ev","5","10","2.04","filii Zebedaei () dixit () ne time abhinc enim homines eris capiens."
"Ev","5","11","2.04","(relictis naviculis) secuti sunt eum."
"Ev","5","12","2.04","() leprosus ()"
"Ev","5","13","2.04","() tetigit ()"
"Ev","5","14","2.04","(vetuit divulgare) vade ostende te sacerdoti et offer munus quod praecepit Moyses ut sit vobis in testimonium."
"Ev","5","17","2.04","()"
"Ev","5","18","2.04","() paralyticus ()"
"Ev","5","19","2.04","()"
"Ev","5","20","2.04","()"
"Ev","5","21","2.04","() quis [potest peccata dimittere] nisi solus deus?"
"Ev","5","22","2.04","()"
"Ev","5","23","2.04","()"
"Ev","5","24a","2.04","() [filius hominis potestatem habet dimittendi peccata]"
"Ev","5","24b","2.04","() exsurge et tolle grabatum tuum."
"Ev","5","25","2.04","()"
"Ev","5","26","2.04","()"
"Ev","5","27","2.04","() publicanus ()"
"Ev","5","28","2.04","()"
"Ev","5","29","2.04","()"
"Ev","5","30","2.04","()"
"Ev","5","31","2.04","() (medicum sanis non esse necessarium sed male habentibus)."
"Ev","5","33","2.04","(discipuli Iohannis assidue ieiunant et orant) () (discipuli Christi manducant et bibunt)"
"Ev","5","34","2.04","(non possunt ieiunare filii sponsi quamdiu cum eis esset sponsus)."
"Ev","5","35","2.04","(vero ieiunaturi cum ablatus ab eis sponsus esset)."
"Ev","5","36a","2.04","() similitudo ()"
"Ev","5","37","2.04","(vinum novum non committit in veteres utres)"
"Ev","5","38","2.04","()"
"Ev","5","36b","2.04","(additamentum panni [rudis] nemo inicit veteri vestimento)."
"Ev","6","01","2.04","() sabbato () (discipuli eius spicas decerptas efflixerant manibus)"
"Ev","6","02","2.04","() pharisaei ()"
"Ev","6","03","2.04","() David ()"
"Ev","6","04","2.04","(introgressus sabbatis templum fractis panibus propositionis) ()."
"Ev","6","06","2.04","() [sabbato] () manus () arida ()."
"Ev","6","07","2.04","observabant () pharisaei si sabbati (medicinas ageret) ut accusarent eum ()."
"Ev","6","09","2.04","(interrogat) licetne sabbatis benefacere an non animam liberare an perdere?"
"Ev","6","10","2.04","()"
"Ev","6","05","2.04","() (dominus sabbati dictus)."
"Ev","6","12","2.04","(ascendit in montem et pernoctavit in oratione ad patrem)."
"Ev","6","13","2.04","() elegit () duodecim () apostolos ()."
"Ev","6","14","2.04","(mutat et Petro nomen de Simone)."
"Ev","6","15","2.04","()"
"Ev","6","16","2.04","()"
"Ev","6","17","2.04","() (conveniunt a Tyro et ex aliis regionibus multitudo etiam transmarina)."
"Ev","6","18","2.04","()"
"Ev","6","19","2.04","()"
"Ev","6","20","2.04","() () beati [mendici] quoniam illorum est regnum dei."
"Ev","6","21","2.04","beati esurientes quoniam saturabuntur. beati plorantes quia ridebunt."
"Ev","6","22","2.04","beati eritis cum vos odio habebunt homines et exprobrabunt et eicient nomen vestrum velut nequam propter filium hominis."
"Ev","6","23","2.04","secundum haec faciebant prophetis patres eorum."
"Ev","6","24","2.04","vae divitibus quoniam recepistis advocationem vestram."
"Ev","6","25","2.04","vae saturatis quia esurietis. vae ridentibus nunc quia lugebitis."
"Ev","6","26","2.04","vae cum vobis benedixerint homines. secundum haec faciebant et pseudoprophetis patres illorum."
"Ev","6","27","2.04","sed vobis dico qui auditis diligite inimicos vestros"
"Ev","6","28","2.04","et benedicite eos qui vos oderunt et orate pro eis qui vos calumniantur. () oculum pro oculu et dentem pro dente ()."
"Ev","6","29","2.04","(paenitentiae pondus) () (non modo non repercutiendi sed et aliam maxillam praebendi et non modo non retinendi tunicam sed et amplius et pallium concedendi)."
"Ev","6","30","2.04","omni petenti te dato."
"Ev","6","31","2.04","et sicut vobis fieri vultis ab hominis ita et vos facite illis."
"Ev","6","34","2.04","et si feneraveritis a quibus superatis vos recepturos quae gratia est vobis?"
"Ev","6","35","2.04","() et eritis filii dei quia ipse suavis est adversus ingratos et malos."
"Ev","6","36","2.04","estote misericordes sicut pater vester misertus est vestri."
"Ev","6","37","2.04","() nolite iudicare ne iudicemini nolite condemnare ne condemnemini. dimittite et dimittemini."
"Ev","6","38","2.04","date et dabitur vobis. mensuram bonam pressam ac fluentem dabunt in sinum vestrum. eadem qua mensi eritis mensura remitietur vobis."
"Ev","6","39","2.04","(caecus caecum ducit in foveam)."
"Ev","6","40","2.04","non est discipulus super magistrum."
"Ev","6","42","2.04","(eximat de oculo suo trabem) () (tunc in oculo [fratris tui] stipulam revincat)."
"Ev","6","43","2.04","(arbor bona non profert malum fructum nec mala bonum)."
"Ev","6","45","2.04","(nec) () (aliquid boni de thesauro malo protulit)."
"Ev","6","46","2.04","quid [vocatis] domine domine et non facitis quae dico?"
"Ev","7","01","2.04","()"
"Ev","7","02","2.04","()"
"Ev","7","03","2.04","()"
"Ev","7","04","2.04","()"
"Ev","7","05","2.04","()"
"Ev","7","06","2.04","()"
"Ev","7","07","2.04","()"
"Ev","7","08","2.04","()"
"Ev","7","09","2.04","() (talem se fidem nec in Israele invenisse)."
"Ev","7","10","2.04","()"
"Ev","7","11","2.04","()"
"Ev","7","12","2.04","(mortuum filium viduae)"
"Ev","7","13","2.04","()"
"Ev","7","14","2.04","(resuscitavit)."
"Ev","7","15","2.04","()"
"Ev","7","16","2.04","() dicentes magnus prophetes prodiit in nobis et respexit deus populum suum."
"Ev","7","18","2.04","(sed scandalizabatur Ioannes auditis virtutibus Christi) ()."
"Ev","7","19","2.04","() tu es qui venis an alium expectamus?"
"Ev","7","20","2.04","()"
"Ev","7","21","2.04","()"
"Ev","7","22","2.04","()"
"Ev","7","23","2.04","()"
"Ev","7","24","2.04","() quid existis videre in solitudinem?"
"Ev","7","26","2.04","() propheten immo et supra ut angelum."
"Ev","7","27","2.04","(ingerens etiam scriptum super illo) ecce ego mitto angelum meum ante faciem tuam qui praeparabit viam tuam."
"Ev","7","28","2.04","(Ioannes) (maior quidem omnibus natis mulierum sed subiectus ei qui minor fuerit in regno dei)."
"Ev","7","36","2.04","()"
"Ev","7","37","2.04","() femina () peccatrix () unguentum ()."
"Ev","7","38","2.04","() (pedes domini osculis figebat lacrimis inundabat crinibus detergebat unguento perducebat)."
"Ev","7","39","2.04","()"
"Ev","7","40","2.04","()"
"Ev","7","41","2.04","()"
"Ev","7","42","2.04","()"
"Ev","7","43","2.04","()"
"Ev","7","44","2.04","()"
"Ev","7","45","2.04","()"
"Ev","7","46","2.04","()"
"Ev","7","50","2.04","() fides tua te salvam fecit."
"Ev","8","02","2.04","() mulieres ()"
"Ev","8","03","2.04","(et uxor regis procuratoris) quae et ministrabant ei de facultatibus suis."
"Ev","8","04","2.04","() [parabola] ()"
"Ev","8","05","2.04","()"
"Ev","8","06","2.04","()"
"Ev","8","07","2.04","()"
"Ev","8","08","2.04","() qui habet aures audiat."
"Ev","8","18","2.04","videte quomodo audiatis. ei qui habet dabitur ab eo autem qui non habet etiam quod habere se putat auferetur ei."
"Ev","8","16","2.04","(lucernam negat abscondi solere)."
"Ev","8","17","2.04","(omnia de occulto in apertum)."
"Ev","8","20","2.04","(annuntiatus est illi) quod mater et fratres [tui] foris stant quarentes videre [te]."
"Ev","8","21","2.04","() quae mihi mater et qui mihi fratres nisi qui audiunt verba mea et faciunt ea?"
"Ev","8","22","2.04","() transfretemus ()."
"Ev","8","23","2.04","()"
"Ev","8","24","2.04","()"
"Ev","8","25","2.04","() quis iste est qui et ventis et mari imperat ()?"
"Ev","8","26","2.04","()"
"Ev","8","27","2.04","() daemones ()"
"Ev","8","28","2.04","() Iesu filii dei ()."
"Ev","8","29","2.04","()"
"Ev","8","30","2.04","() legio ()."
"Ev","8","31","2.04","(depetebant veniam) () abyssum ()."
"Ev","8","32","2.04","(denique impetraverunt)."
"Ev","8","33","2.04","()"
"Ev","8","34","2.04","()"
"Ev","8","35","2.04","()"
"Ev","8","36","2.04","()"
"Ev","8","37","2.04","()"
"Ev","8","38","2.04","()"
"Ev","8","39","2.04","()"
"Ev","8","43","2.04","() femina () (quae sanguine fluitabat) ()"
"Ev","8","44","2.04","() tetigit vestimentum eius ()."
"Ev","8","45","2.04","() quis me tetigit? (excusantibus discipulis)."
"Ev","8","46","2.04","() tetigit me aliquis sensi enim virtutem ex me profectam."
"Ev","8","47","2.04","()"
"Ev","8","48","2.04","() fides tua te salvam fecit."
"Ev","9","01","2.04","()"
"Ev","9","02","2.04","(dimittit discipulos ad praedicandum dei regnum) ()."
"Ev","9","03","2.04","(prohibet eos victui aut vestitui quid in viam ferre)."
"Ev","9","05","2.04","(in eos a quibus excepti non fuissent) () pulverem de pedibus () excutite () in testimonium."
"Ev","9","06","2.04","()"
"Ev","9","07","2.04","() Herodes () Ioannes ()"
"Ev","9","08","2.04","() Helias () (unus aliquis ex veteribus prophetis suscitatus est)."
"Ev","9","09","2.04","()"
"Ev","9","12","2.04","() in solitudine ()."
"Ev","9","13","2.04","() (panis et piscis) ()."
"Ev","9","14","2.04","() circiter viri quinque milia ()."
"Ev","9","15","2.04","()"
"Ev","9","16","2.04","()"
"Ev","9","17","2.04","() (exuberare) ()."
"Ev","9","18","2.04","() interrogavit () (quisnam videor) ()."
"Ev","9","19","2.04","()"
"Ev","9","20","2.04","() Petrus () respondit tu es Christus."
"Ev","9","21","2.04","ille autem () praecepit ne cui hoc dicerent."
"Ev","9","22","2.04","() oportet filium hominis multa pati et reprobari a presbyteris et scribis et sacerdotibus et interfici et post tertium diem resurgere."
"Ev","9","24","2.04","qui voluerit animam suam salvam facere perdet illam et qui perdiderit eam propter me salvam faciet eam."
"Ev","9","26","2.04","qui confusus mei fuerit et ego confundar eius."
"Ev","9","28","2.04","() (tres de discentibus) () (in montem secedit)."
"Ev","9","29","2.04","(vestitus eius refulsit)."
"Ev","9","30","2.04","() (cum illis loqui)"
"Ev","9","31","2.04","(in claritatis praerogativa)."
"Ev","9","32","2.04","() Petrus () (stantes)"
"Ev","9","33","2.04","() (discesserunt) () bonum est nos hic esse et faciamus hic tria tabernacula unum tibi et Moysi unum et Heliae unum nesciens quid diceret."
"Ev","9","34","2.04","() nubes () obumbravit ()"
"Ev","9","35","2.04","(vox de [caelo]) hic est filius meus dilectus hunc audite."
"Ev","9","36","2.04","()"
"Ev","9","37","2.04","()"
"Ev","9","38","2.04","()"
"Ev","9","39","2.04","()"
"Ev","9","40","2.04","()"
"Ev","9","41","2.04","() o genitura incredula quousque ero apud vos quousque sustinebo vos? ()"
"Ev","9","42","2.04","()"
"Ev","9","43a","2.04","()"
"Ev","9","44","2.04","()"
"Ev","9","46","2.04","()"
"Ev","9","47","2.04","()"
"Ev","9","48","2.04","() (Christus diligit parvulos tales esse docens debere qui semper maiores velint esse) ()."
"Ev","9","51","2.04","()"
"Ev","9","52","2.04","() (viculum Samaritarum) ()."
"Ev","9","53","2.04","()"
"Ev","9","54","2.04","(repraesentat creator ignium plagam Helia postulante in illo pseudopropheta)."
"Ev","9","55","2.04","(agnosco iudicis severitatem e contrario Christi lenitatem increpantis eandem animadversionem destinantes discipulos super illum viculum Samaritarum)."
"Ev","9","56","2.04","()"
"Ev","9","57","2.04","() sequar te quocunque ieris."
"Ev","9","58","2.04","(humanissimus deus cur recusat eum)."
"Ev","9","59","2.04","(illi autem causato patris sepulturam)."
"Ev","9","60","2.04","() sine mortui sepeliant mortuos suos tu autem vade et annuntia regnum dei."
"Ev","9","61","2.04","(tertium illum prius suis valedicere parantem)"
"Ev","9","62","2.04","(prohibet retro respectare)."
"Ev","10","01","2.04","() adlegit et alios septuaginta apostolos super duodecim ()."
"Ev","10","04","2.04","(virgam) () (calciamenta portare vetuit) () neminem per viam salutaveritis."
"Ev","10","05","2.04","(in quam introisset domum pacem ei dicere)."
"Ev","10","07","2.04","() dignus () operarius mercede sua."
"Ev","10","08","2.04","()"
"Ev","10","09","2.04","() (medicina) () (regnum dei) (iubet annuntiari appropinquasse)."
"Ev","10","10","2.04","(ut eis qui illos non recepissent diceret)"
"Ev","10","11","2.04","(pulverem iubet excuti in illos in testificationem et haerentia terrae eorum) scitote tamen appropinquasse regnum dei."
"Ev","10","16","2.04","() qui vos spernit me spernit ()."
"Ev","10","17","2.04","()"
"Ev","10","19","2.04","(dat potestatem calcandi super colubros et scorpios)."
"Ev","10","21","2.04","() gratias ago et confiteor domine caeli quod ea quae erant abscondita sapientibus et prudentibus revelaveris parvulis ()."
"Ev","10","22","2.04","omnia mihi tradita [sunt] a patre. nemo scit qui sit pater nisi filius et qui sit filius nisi pater et cuicunque filius revelaverit."
"Ev","10","23","2.04","beati oculi qui vident quae videtis."
"Ev","10","24","2.04","dico enim vobis quia prophetae non viderunt quae vos videtis."
"Ev","10","25","2.04","() legis doctor () quid faciens vitam consequar?"
"Ev","10","26","2.04","(dominus respondit) () in lege ()."
"Ev","10","27","2.04","() diliges dominum deum tuum ex toto corde tuo et ex tota anima tua et totis viribus tuis."
"Ev","10","28","2.04","()"
"Ev","11","01","2.04","(cum in quodam loco orasset) () quidam ex discipulis () domine doce nos orare sicut et Ioannes discipulos suos docuit."
