"book","chapter","verse","edition","unique_id","text","nltext","bgmtext","lemma","bgmpos"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",1,"ἐν","ἐν","ἐν@pd","ἐν","pd"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",2,"τῷ","τῷ","ὁ@ddns","ὁ","ddns"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",3,"πεντεκαιδεκάτῳ","πεντεκαιδεκάτῳ","πεντεκαιδέκατος@aodnsn","πεντεκαιδέκατος","aodnsn"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",4,"ἔτει","ἔτει","ἔτος@ndnsc","ἔτος","ndnsc"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",5,"Τιβερίου","Τιβερίου","Τιβέριος@ngmsp","Τιβέριος","ngmsp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",6,"Καίσαρος","Καίσαρος","Καῖσαρ@ngmsp","Καῖσαρ","ngmsp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",7,"ἡγεμονεύοντος","ἡγεμονεύοντος","ἡγεμονεύω@vppagms","ἡγεμονεύω","vppagms"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",8,"Ποντίου","Ποντίου","Πόντιος@ngmsp","Πόντιος","ngmsp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",9,"Πιλάτου","Πιλάτου","Πιλᾶτος@ngmsp","Πιλᾶτος","ngmsp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",10,"τῆς","τῆς","ὁ@dgfs","ὁ","dgfs"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",11,"Ἰουδαίας","Ἰουδαίας","Ἰουδαία@ngfsp","Ἰουδαία","ngfsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",12,"ὁ","ὁ","ὁ@dnms","ὁ","dnms"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",13,"Ἰησοῦς","Ἰησοῦς","Ἰησοῦς@nnmsp","Ἰησοῦς","nnmsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",14,"κατῆλθεν","κατῆλθεν","κατέρχομαι@viaa3s","κατέρχομαι","viaa3s"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",15,"εἰς","εἰς","εἰς@pa","εἰς","pa"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",16,"Καφαρναοὺμ","Καφαρναοὺμ","Καφαρναούμ@nafsp","Καφαρναούμ","nafsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",17,"πόλιν","πόλιν","πόλις@nafsc","πόλις","nafsc"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",18,"τῆς","τῆς","ὁ@dgfs","ὁ","dgfs"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",19,"Γαλιλαίας","Γαλιλαίας","Γαλιλαία@ngfsp","Γαλιλαία","ngfsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",20,".",".",".",".","."
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",21,"καὶ","καὶ","καί@cc","καί","cc"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00205-src-grc1",22,"ἦν","ἦν","εἰμί@viia3s","εἰμί","viia3s"
