"book","chapter","verse","edition","unique_id","text","nltext","bgmtext","lemma","bgmpos"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",1,"ἐν","ἐν","ἐν@pd","ἐν","pd"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",2,"τῷ","τῷ","ὁ@ddns","ὁ","ddns"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",3,"ἔτει","ἔτει","ἔτος@ndnsc","ἔτος","ndnsc"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",4,"πεντεκαιδεκάτῳ","πεντεκαιδεκάτῳ","πεντεκαιδέκατος@aodnsn","πεντεκαιδέκατος","aodnsn"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",5,"τῆς","τῆς","ὁ@dgfs","ὁ","dgfs"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",6,"ἡγεμονίας","ἡγεμονίας","ἡγεμονία@ngfsc","ἡγεμονία","ngfsc"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",7,"Τιβερίου","Τιβερίου","Τιβέριος@ngmsp","Τιβέριος","ngmsp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",8,"Καίσαρος","Καίσαρος","Καῖσαρ@ngmsp","Καῖσαρ","ngmsp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",9,"ἐπι","ἐπι","ἐπί@pg","ἐπί","pg"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",10,"τῶν","τῶν","ὁ@dgmp","ὁ","dgmp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",11,"χρόνων","χρόνων","χρόνος@ngmpc","χρόνος","ngmpc"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",12,"Ποντίου","Ποντίου","Πόντιος@ngmsp","Πόντιος","ngmsp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00206-src-grc1",13,"Πιλάτου","Πιλάτου","Πιλᾶτος@ngmsp","Πιλᾶτος","ngmsp"
