"book","chapter","verse","edition","unique_id","align_id","text","nltext","bgmtext","lemma","bgmpos"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",1,1,"Ἐν","ἐν","ἐν@pd","ἐν","pd"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",2,2,"ἔτει","ἔτει","ἔτος@ndnsc","ἔτος","ndnsc"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",3,3,"δὲ","δὲ","δέ@cc","δέ","cc"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",4,4,"πεντεκαιδεκάτῳ","πεντεκαιδεκάτῳ","πεντεκαιδέκατος@aodnsn","πεντεκαιδέκατος","aodnsn"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",5,5,"τῆς","τῆς","ὁ@dgfs","ὁ","dgfs"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",6,6,"ἡγεμονίας","ἡγεμονίας","ἡγεμονία@ngfsc","ἡγεμονία","ngfsc"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",7,7,"Τιβερίου","Τιβερίου","Τιβέριος@ngmsp","Τιβέριος","ngmsp"
"Ev","3","1","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",8,8,"Καίσαρος","Καίσαρος","Καῖσαρ@ngmsp","Καῖσαρ","ngmsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",9,9,"ὁ","ὁ","ὁ@dnms","ὁ","dnms"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",10,10,"Ἰησοῦς","Ἰησοῦς","Ἰησοῦς@nnmsp","Ἰησοῦς","nnmsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",11,11,"κατῆλθεν","κατῆλθεν","κατέρχομαι@viaa3s","κατέρχομαι","viaa3s"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",12,12,"εἰς","εἰς","εἰς@pa","εἰς","pa"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",13,13,"Καφαρναοὺμ","Καφαρναοὺμ","Καφαρναούμ@nafsp","Καφαρναούμ","nafsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",14,14,"πόλιν","πόλιν","πόλις@nafsc","πόλις","nafsc"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",15,15,"τῆς","τῆς","ὁ@dgfs","ὁ","dgfs"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",16,16,"Γαλιλαίας","Γαλιλαίας","Γαλιλαία@ngfsp","Γαλιλαία","ngfsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",17,17,"τὴν","τὴν","ὁ@dafs","ὁ","dafs"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",18,18,"παραθαλάσσιον","παραθαλάσσιον","παραθαλάσσιος@anafsn","παραθαλάσσιος","anafsn"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",19,19,"ἐν","ἐν","ἐν@pd","ἐν","pd"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",20,20,"ὁρίοις","ὁρίοις","ὅριον@ndnpc","ὅριον","ndnpc"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",21,21,"Ζαβουλὼν","Ζαβουλὼν","Ζαβουλών@ngmsp","Ζαβουλών","ngmsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",22,22,"καὶ","καὶ","καί@cc","καί","cc"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",23,23,"Νεφθαλίμ","Νεφθαλίμ","Νεφθαλίμ@ngmsp","Νεφθαλίμ","ngmsp"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",25,24,"καὶ","καὶ","καί@cc","καί","cc"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",26,25,"ἦν","ἦν","εἰμί@viia3s","εἰμί","viia3s"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",27,26,"διδάσκων","διδάσκων","διδάσκω@vppanms","διδάσκω","vppanms"
"Ev","4","31","urn:cts:greekLit:tlg2958.tlg00207-src-grc1",28,27,"αὐτοὺς","αὐτοὺς","αὐτός@rpamp","αὐτός","rpamp"
