"book","chapter","verse","edition","text"
"Gal","0","00","3.03","πρός@pa Γαλάται@nampp"
"Gal","1","01","3.03","Παῦλος@nnmsp ἀπόστολος@nnmsc οὐ@b ἀπό@pg ἄνθρωπος@ngmpc οὐδέ@cc διά@pg ἄνθρωπος@ngmsc ἀλλά@cc διά@pg Ἰησοῦς@ngmsp Χριστός@ngmsp ὁ@dgms ἐγείρω@vpaagms ἑαυτοῦ@rxams ἐκ@pg νεκρός@angmpn"
"Gal","1","02","3.03","[καί@cc ὁ@dnmp σύν@pd ἐγώ@rpd-s πᾶς@ainmpn ἀδελφός@nnmpc ὁ@ddfp ἐκκλησία@ndfpc ὁ@dgfs Γαλατία@ngfsp]"
"Gal","1","03","3.03","χάρις@nnfsc καί@cc εἰρήνη@nnfsc [ἀπό@pg θεός@ngmsc πατήρ@ngmsc καί@cc κύριος@ngmsc ἐγώ@rpg-p Ἰησοῦς@ngmsp Χριστός@ngmsp]"
"Gal","1","04","3.03","[ὁ@dgms δίδωμι@vpaagms ἑαυτοῦ@rxams περί@pg ὁ@dgfp ἁμαρτία@ngfpc ἐγώ@rpg-p ὅπως@cs ἐξαιρέω@vsam3s ἐγώ@rpa-p ἐκ@pg ὁ@dgms αἰών@ngmsc ὁ@dgms ἐνίστημι@vpxagms πονηρός@angmsn κατά@pa ὁ@dans θέλημα@nansc ὁ@dgms θεός@ngmsc καί@cc πατήρ@ngmsc ἐγώ@rpg-p]"
"Gal","1","05","3.03","[ὅς@rrdms ὁ@dnfs δόξα@nnfsc εἰς@pa ὁ@damp αἰών@nampc ὁ@dgmp αἰών@ngmpc ἀμήν@t]"
"Gal","1","06","3.03","θαυμάζω@vipa1s ὅτι@cs οὕτω@b ταχέως@b μετατίθημι@vipe2p ἀπό@pg ὁ@dgms καλέω@vpaagms σύ@rpa-p ἐν@pd χάρις@ndfsc εἰς@pa ἕτερος@aiansn εὐαγγέλιον@nansc"
"Gal","1","07","3.03","ὅς@rrnns (ἄλλος@ainnsn) [] πάντως@b οὐ@b εἰμί@vipa3s κατά@pa ὁ@dans εὐαγγέλιον@nansc ἐγώ@rpg-s () εἰ@cs μή@x τὶς@rinmp εἰμί@vipa3p ὁ@dnmp ταράσσω@vppanmp σύ@rpa-p καί@cc θέλω@vppanmp μεταστρέφω@vnaa εἰς@pa ἕτερος@aiansn εὐαγγέλιον@nansc ὁ@dgms Χριστός@ngmsp"
"Gal","1","08","3.03","ἀλλά@cc καί@b ἐάν@cs ἐγώ@rpn-p ἤ@cc ἄγγελος@nnmsc ἐκ@pg οὐρανός@ngmsc ἄλλως@b εὐαγγελίζω@vsam3s παρά@pa ὅς@rrans εὐαγγελίζω@viam1p ἀνάθεμα@nnnsc εἰμί@vdpa3s"
"Gal","1","09","3.03","[ὡς@cs προλέγω@vixa1p καί@cc ἄρτι@b πάλιν@b λέγω@vipa1s] εἰ@cs τὶς@rinms σύ@rpa-p εὐαγγελίζω@vipm3s [παρά@pa ὅς@rrans παραλαμβάνω@viaa2p] ἀνάθεμα@nnnsc εἰμί@vdpa3s"
